event_id,start_date,end_date,duration_days,num_detections,latitude,longitude,max_frp,avg_frp,total_frp,max_confidence,avg_confidence,year,month,day
0,2011-01-17,2011-01-17,1,1,32.6209,-114.6235,19.7,19.7,19.7,76,76.0,2011,1,17
1,2011-01-10,2011-01-27,18,8,32.6843,-115.6711,436.8,131.4,1051.2,95,72.875,2011,1,10
2,2011-01-13,2011-01-13,1,3,32.6997,-114.309,18.5,12.166666666666666,36.5,78,67.33333333333333,2011,1,13
3,2011-01-08,2011-01-31,24,5,32.7021,-115.416,101.1,61.239999999999995,306.2,86,76.2,2011,1,8
4,2011-01-08,2011-01-27,20,5,32.9308,-115.3968,87.5,40.92,204.6,97,81.0,2011,1,8
5,2011-01-17,2011-01-27,11,5,32.8819,-115.6788,88.2,37.6,188.0,84,63.6,2011,1,21
6,2011-01-27,2011-01-27,1,6,33.0196,-115.6037,349.8,184.78333333333333,1108.7,95,85.83333333333333,2011,1,27
7,2011-01-08,2011-01-10,3,5,33.0948,-115.5266,210.9,112.4,562.0,87,76.0,2011,1,10
8,2011-01-27,2011-01-27,1,2,33.2932,-116.3465,38.8,24.95,49.9,90,82.0,2011,1,27
9,2011-01-13,2011-01-13,1,1,33.4526,-116.1083,14.9,14.9,14.9,70,70.0,2011,1,13
10,2011-01-24,2011-01-24,1,4,33.4856,-114.7188,57.5,29.075,116.3,91,74.75,2011,1,24
11,2011-01-27,2011-01-31,5,4,33.5724,-116.0111,9.7,6.8,27.2,64,58.25,2011,1,28
12,2011-01-17,2011-01-17,1,1,33.5951,-114.7539,14.2,14.2,14.2,73,73.0,2011,1,17
13,2011-01-28,2011-01-28,1,2,33.6509,-114.5581,12.4,11.05,22.1,69,63.5,2011,1,28
14,2011-01-10,2011-01-10,1,1,34.0919,-117.5317,4.6,4.6,4.6,53,53.0,2011,1,10
15,2011-01-28,2011-01-28,1,1,34.5322,-117.9645,6.9,6.9,6.9,51,51.0,2011,1,28
16,2011-01-06,2011-01-06,1,1,34.6033,-118.3848,12.8,12.8,12.8,54,54.0,2011,1,6
17,2011-01-07,2011-01-07,1,1,35.0752,-120.579,6.7,6.7,6.7,61,61.0,2011,1,7
18,2011-01-25,2011-01-25,1,1,35.3562,-118.9834,4.4,4.4,4.4,55,55.0,2011,1,25
19,2011-01-30,2011-01-30,1,1,35.5996,-119.2462,11.9,11.9,11.9,65,65.0,2011,1,30
20,2011-01-22,2011-01-22,1,1,35.6529,-120.7465,7.3,7.3,7.3,64,64.0,2011,1,22
21,2011-01-25,2011-01-25,1,1,36.3166,-115.6297,21.1,21.1,21.1,71,71.0,2011,1,25
22,2011-01-25,2011-01-25,1,2,36.413,-116.3485,51.7,37.05,74.1,82,74.5,2011,1,25
23,2011-01-20,2011-01-20,1,1,36.5201,-119.9658,11.1,11.1,11.1,60,60.0,2011,1,20
24,2011-01-25,2011-01-25,1,3,36.5754,-121.4803,10.1,10.0,30.0,73,66.33333333333333,2011,1,25
25,2011-01-20,2011-01-20,1,1,36.6846,-120.1396,19.5,19.5,19.5,71,71.0,2011,1,20
26,2011-01-22,2011-01-22,1,2,38.6055,-119.5976,80.0,59.65,119.3,80,72.0,2011,1,22
27,2011-01-27,2011-01-28,2,3,38.7146,-120.5027,105.6,45.300000000000004,135.9,91,74.0,2011,1,28
28,2011-01-25,2011-01-25,1,2,39.4094,-122.2453,33.0,26.7,53.4,87,83.5,2011,1,25
29,2011-01-28,2011-01-28,1,1,39.4352,-120.9629,40.7,40.7,40.7,79,79.0,2011,1,28
30,2011-01-25,2011-01-25,1,1,39.512,-121.4419,6.1,6.1,6.1,51,51.0,2011,1,25
31,2011-01-25,2011-01-25,1,6,39.6586,-121.1972,221.7,106.14999999999999,636.9,100,91.5,2011,1,25
32,2011-01-07,2011-01-07,1,1,39.8467,-121.521,13.5,13.5,13.5,74,74.0,2011,1,7
33,2011-01-27,2011-01-27,1,2,40.1114,-122.3908,12.9,9.8,19.6,73,65.0,2011,1,27
34,2011-01-25,2011-01-25,1,1,40.3051,-122.6805,4.8,4.8,4.8,56,56.0,2011,1,25
35,2011-01-18,2011-01-20,3,4,40.3634,-122.9655,20.3,13.325,53.3,73,63.25,2011,1,18
36,2011-01-20,2011-01-20,1,1,40.5172,-122.558,15.6,15.6,15.6,67,67.0,2011,1,20
37,2011-01-25,2011-01-25,1,2,41.0681,-120.0808,14.6,12.5,25.0,73,69.0,2011,1,25
38,2011-01-21,2011-01-21,1,2,41.281000000000006,-123.3205,23.7,15.55,31.1,80,65.0,2011,1,21
39,2011-02-24,2011-02-24,1,2,32.7107,-114.1006,38.7,34.55,69.1,75,73.5,2011,2,24
40,2011-02-03,2011-02-23,21,14,32.8061,-115.6444,457.4,121.37142857142858,1699.2,100,86.21428571428571,2011,2,18
41,2011-02-15,2011-02-15,1,2,32.7295,-115.4667,177.5,133.2,266.4,97,92.0,2011,2,15
42,2011-02-07,2011-02-14,8,5,32.7631,-116.5528,71.3,45.38,226.9,89,73.6,2011,2,14
43,2011-02-07,2011-02-07,1,1,32.7717,-114.6414,20.9,20.9,20.9,54,54.0,2011,2,7
44,2011-02-17,2011-02-17,1,2,32.8552,-115.3692,152.1,109.69999999999999,219.39999999999998,100,95.5,2011,2,17
45,2011-02-17,2011-02-28,12,3,32.867,-115.541,141.7,63.93333333333334,191.8,100,85.33333333333333,2011,2,17
46,2011-02-23,2011-02-23,1,3,32.9707,-115.3985,59.0,35.0,105.0,86,71.33333333333333,2011,2,23
47,2011-02-01,2011-02-24,24,8,33.1324,-115.48,390.7,172.9875,1383.9,100,91.875,2011,2,1
48,2011-02-15,2011-02-23,9,4,33.1443,-115.4594,316.0,139.225,556.9,100,79.0,2011,2,15
49,2011-02-17,2011-02-17,1,3,33.2888,-115.5834,318.2,118.73333333333333,356.2,82,75.66666666666667,2011,2,17
50,2011-02-23,2011-02-23,1,3,33.3007,-116.3441,29.0,20.466666666666665,61.4,77,70.0,2011,2,23
51,2011-02-09,2011-02-11,3,3,33.4486,-114.6992,25.0,15.700000000000001,47.1,79,74.0,2011,2,9
52,2011-02-23,2011-02-25,3,2,33.5106,-116.1684,12.3,9.75,19.5,69,65.5,2011,2,23
53,2011-02-05,2011-02-14,10,2,33.5498,-114.6614,9.0,6.6,13.2,55,52.5,2011,2,14
54,2011-02-14,2011-02-14,1,1,33.666,-114.5828,34.5,34.5,34.5,85,85.0,2011,2,14
55,2011-02-13,2011-02-13,1,1,33.7541,-115.3605,8.6,8.6,8.6,65,65.0,2011,2,13
