fire_id,fire_date,fire_latitude,fire_longitude,fire_frp,confidence,station_id,station_name,station_distance_km,fire_month,fire_year,avg_temp_30d,max_temp_30d,avg_max_temp_30d,total_precip_30d,days_without_rain,avg_wind_speed,max_wind_speed,avg_dewpoint,temp_precip_ratio
0,2013-02-06,32.4937,-114.7856,26.9,65,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1187.4202079243123,2,2013,45.69333333333332,72.0,61.72333333333333,0.6900000000000001,27,4.636666666666668,19.0,31.356666666666666,57.83966244725737
1,2013-02-06,32.5006,-114.7917,45.0,74,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1186.3991491426282,2,2013,45.69333333333332,72.0,61.72333333333333,0.6900000000000001,27,4.636666666666668,19.0,31.356666666666666,57.83966244725737
2,2013-09-16,32.5356,-114.7262,51.8,86,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1188.7210370841772,9,2013,79.40666666666668,107.1,96.92,0.02,29,5.493333333333335,18.1,50.13666666666667,661.7222222222223
3,2013-09-16,32.5373,-114.7425,48.0,84,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1187.3154565288155,9,2013,79.40666666666668,107.1,96.92,0.02,29,5.493333333333335,18.1,50.13666666666667,661.7222222222223
4,2013-08-27,32.5843,-114.6333,73.5,99,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1192.1778352275396,8,2013,79.18,106.0,96.07666666666665,0.02,29,5.033333333333332,17.1,50.23333333333334,659.8333333333334
5,2013-11-25,32.5926,-114.5898,5.2,51,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1194.9619415502355,11,2013,56.39333333333334,82.9,72.17666666666668,1.17,27,6.246666666666666,26.0,34.40333333333333,44.40419947506562
6,2013-10-23,32.6023,-114.5952,11.6,57,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1193.77918213226,10,2013,65.10666666666665,91.0,81.41000000000001,0.05,28,7.736666666666667,28.0,35.19666666666667,434.0444444444443
7,2013-10-17,32.6045,-114.6166,14.1,57,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1191.916928463943,10,2013,65.99666666666667,91.0,81.22333333333333,0.52,26,8.396666666666667,28.0,37.25333333333334,106.44623655913979
8,2013-03-12,32.6088,-114.5874,12.1,62,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1193.8898607824704,3,2013,52.14,79.0,68.60999999999999,0.51,27,6.923333333333333,29.9,31.919999999999995,85.47540983606558
9,2013-10-03,32.6117,-114.605,22.4,55,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1192.2720086601685,10,2013,72.42666666666666,107.1,88.95333333333333,0.52,26,6.85,28.0,45.48333333333333,116.81720430107526
