event_id,fire_start_date,fire_end_date,fire_duration_days,fire_latitude,fire_longitude,fire_max_frp,fire_avg_frp,fire_total_frp,confidence,station_id,station_name,station_distance_km,avg_temp_30d,max_temp_30d,avg_max_temp_30d,total_precip_30d,days_without_rain,avg_wind_speed,max_wind_speed,avg_dewpoint,temp_precip_ratio
0,2017-01-17,2017-01-17,1,32.5924,-114.6176,111.9,37.94285714285714,265.6,86,74003503145,"YUMA MCAS, AZ US",6.394433312882464,57.78125,73.0,69.01249999999999,0.33,14,5.34375,21.0,42.7625,134.37499999999997
2,2017-01-14,2017-01-17,4,33.6972,-114.5815,10.5,8.6,17.2,57,74718823158,"BLYTHE ASOS, CA US",17.14024523971862,54.099999999999994,72.0,66.0,1.27,11,5.36923076923077,26.0,44.51538461538462,39.489051094890506
3,2017-01-24,2017-01-24,1,33.8064,-115.4095,12.2,12.2,12.2,54,74718823158,"BLYTHE ASOS, CA US",79.90611374965938,54.6695652173913,72.0,66.00869565217391,1.45,20,6.343478260869565,26.0,42.86521739130434,35.27068723702664
5,2017-01-18,2017-01-18,1,33.9229,-114.4334,9.7,9.7,9.7,62,74718823158,"BLYTHE ASOS, CA US",45.97115242535978,54.370588235294115,72.0,66.36470588235295,1.27,15,5.4411764705882355,26.0,43.54705882352941,39.68656075568913
7,2017-01-17,2017-01-31,15,34.3998,-118.9651,21.4,13.2,26.4,81,72392623136,"CAMARILLO AIRPORT, CA US",24.943696833284225,54.68125,71.1,64.1625,3.11,6,4.45,15.9,48.4875,17.034657320872274
8,2017-01-31,2017-01-31,1,34.4194,-119.2665,5.1,5.1,5.1,59,72392793110,"OXNARD VENTURA CO AIRPORT, CA US",25.304286899324165,55.43666666666666,80.1,65.21666666666667,7.57,14,6.276666666666667,28.0,44.303333333333335,7.227727075184702
9,2017-01-16,2017-01-16,1,34.8495,-117.1942,9.9,9.9,9.9,70,72382523131,"VICTORVILLE SOUTHERN CALIFORNIA INTERNATIONAL AIRPORT, CA US",36.2439435834712,44.50666666666666,62.6,54.20000000000001,799.92,7,5.873333333333332,22.9,36.60000000000001,0.05563194253476996
12,2017-01-11,2017-01-11,1,35.491,-119.2528,11.1,11.1,11.1,57,72384023155,"BAKERSFIELD AIRPORT, CA US",22.81627915404208,53.510000000000005,75.9,62.95,1.6199999999999999,3,4.5600000000000005,17.1,43.779999999999994,31.110465116279073
13,2017-01-16,2017-01-16,1,35.5952,-119.1154,27.4,24.7,49.4,81,72384023155,"BAKERSFIELD AIRPORT, CA US",19.07371083064797,52.31333333333334,75.9,60.89333333333333,2.4399999999999995,6,4.406666666666666,17.1,43.43333333333333,20.59580052493439
14,2017-01-06,2017-01-29,24,36.1787,-120.1798,52.5,13.84,138.4,93,74702023110,"LEMOORE REEVES NAS, CA US",30.744891508751092,47.64,57.9,55.98,0.44999999999999996,2,7.779999999999999,18.1,43.040000000000006,86.61818181818182
