fire_id,fire_date,fire_latitude,fire_longitude,fire_frp,confidence,station_id,station_name,station_distance_km,fire_month,fire_year,avg_temp_30d,max_temp_30d,avg_max_temp_30d,total_precip_30d,days_without_rain,avg_wind_speed,max_wind_speed,avg_dewpoint,temp_precip_ratio
13446,2017-09-04,41.4355,-123.4308,45.4,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",193.2405975344989,9,2017,83.69,114.1,102.1,0.0,30,5.1466666666666665,15.0,54.883333333333326,836.9
13447,2017-08-21,41.4355,-123.0548,10.9,59,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",167.89144091242417,8,2017,84.27666666666669,108.0,101.39666666666668,0.0,30,5.133333333333334,15.0,57.336666666666666,842.7666666666668
13448,2017-08-16,41.4356,-123.3715,139.4,93,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",188.86485916301655,8,2017,84.74666666666667,108.0,101.80333333333333,0.0,30,5.253333333333334,17.1,54.83000000000001,847.4666666666667
13449,2017-08-26,41.4358,-123.0352,76.7,98,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",166.77938569649478,8,2017,83.66000000000001,108.0,100.9,0.0,30,5.01,15.0,58.57,836.6
13450,2017-08-05,41.4359,-120.2746,11.9,81,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",261.9663860437698,8,2017,86.55333333333334,111.0,104.53666666666666,0.0,30,5.519999999999999,17.1,51.27666666666667,865.5333333333334
13451,2017-09-05,41.4361,-122.9894,68.1,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",164.22520043514103,9,2017,83.77333333333333,114.1,102.4,0.0,30,5.1,15.0,54.87333333333333,837.7333333333332
13452,2017-09-04,41.4362,-122.9745,48.2,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",163.41997812566913,9,2017,83.69,114.1,102.1,0.0,30,5.1466666666666665,15.0,54.883333333333326,836.9
13453,2017-08-28,41.4363,-123.4202,39.9,82,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",192.51348896815006,8,2017,83.55,111.0,101.20000000000002,0.0,30,5.05,15.0,57.73,835.4999999999999
13454,2017-08-24,41.4364,-123.4038,18.9,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",191.30327426631308,8,2017,83.67333333333333,108.0,100.83333333333334,0.0,30,5.073333333333333,15.0,58.21999999999999,836.7333333333332
13455,2017-08-28,41.4367,-123.0497,26.6,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",167.705962976491,8,2017,83.55,111.0,101.20000000000002,0.0,30,5.05,15.0,57.73,835.4999999999999
13456,2017-09-05,41.4368,-123.4332,186.9,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",193.5269799911631,9,2017,83.77333333333333,114.1,102.4,0.0,30,5.1,15.0,54.87333333333333,837.7333333333332
13457,2017-08-28,41.4368,-123.0349,32.0,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",166.85696401342648,8,2017,83.55,111.0,101.20000000000002,0.0,30,5.05,15.0,57.73,835.4999999999999
13458,2017-08-22,41.4369,-123.4138,24.5,59,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",192.08629896742252,8,2017,84.01333333333334,108.0,101.23666666666666,0.0,30,5.143333333333333,15.0,57.67999999999999,840.1333333333333
13459,2017-08-21,41.437,-123.4081,33.8,83,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",191.67138029784775,8,2017,84.27666666666669,108.0,101.39666666666668,0.0,30,5.133333333333334,15.0,57.336666666666666,842.7666666666668
13460,2017-07-15,41.437,-116.8228,106.8,98,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",619.5947173470247,7,2017,86.79333333333331,113.0,103.9,0.0,30,6.823333333333332,21.0,52.98999999999999,867.933333333333
13461,2017-09-04,41.4371,-123.4429,25.9,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",194.28079187720024,9,2017,83.69,114.1,102.1,0.0,30,5.1466666666666665,15.0,54.883333333333326,836.9
13462,2017-09-17,41.4371,-123.176,18.8,81,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",175.52354385342775,9,2017,82.91,114.1,102.23666666666665,0.47,28,5.459999999999999,17.1,53.88666666666666,145.4561403508772
