latitude,longitude,acq_date,satellite,instrument,frp,type,bright_t31,confidence,year,month,datetime,day,confidence_level,frp_category
32.5472,-114.6837,2016-01-02,Terra,MODIS,56.5,0,290.9,72,2016,1,2016-01-02,2,high,medium-high
32.5476,-114.7506,2016-06-15,Aqua,MODIS,191.2,0,322.1,100,2016,6,2016-06-15,15,high,high
32.5517,-114.7134,2016-01-02,Terra,MODIS,64.6,0,289.6,73,2016,1,2016-01-02,2,high,medium-high
32.555,-114.7173,2016-01-02,Terra,MODIS,46.7,0,289.6,68,2016,1,2016-01-02,2,medium,medium-high
32.5843,-116.5993,2016-06-20,Terra,MODIS,44.9,0,298.3,100,2016,6,2016-06-20,20,high,medium-low
32.5858,-116.5875,2016-06-20,Terra,MODIS,22.1,0,297.4,100,2016,6,2016-06-20,20,high,medium-low
32.5862,-116.5366,2016-06-20,Terra,MODIS,33.7,0,313.0,64,2016,6,2016-06-20,20,medium,medium-low
32.5881,-116.558,2016-06-20,Terra,MODIS,140.3,0,320.0,96,2016,6,2016-06-20,20,high,high
32.5887,-116.5631,2016-06-20,Terra,MODIS,11.2,0,298.6,81,2016,6,2016-06-20,20,high,low
32.5894,-116.6379,2016-06-19,Aqua,MODIS,44.7,0,320.4,85,2016,6,2016-06-19,19,high,medium-low
32.5909,-116.5766,2016-06-20,Aqua,MODIS,65.0,0,320.4,88,2016,6,2016-06-20,20,high,medium-high
32.5924,-116.6218,2016-06-19,Aqua,MODIS,206.2,0,317.7,100,2016,6,2016-06-19,19,high,high
32.5927,-116.5583,2016-06-20,Aqua,MODIS,203.8,0,324.9,100,2016,6,2016-06-20,20,high,high
32.5943,-116.541,2016-06-20,Aqua,MODIS,210.2,0,323.8,100,2016,6,2016-06-20,20,high,high
32.5961,-116.5228,2016-06-20,Aqua,MODIS,200.9,0,314.6,100,2016,6,2016-06-20,20,high,high
32.5967,-116.5776,2016-06-20,Terra,MODIS,26.4,0,297.9,100,2016,6,2016-06-20,20,high,medium-low
32.5982,-116.5652,2016-06-20,Terra,MODIS,98.0,0,303.7,100,2016,6,2016-06-20,20,high,medium-high
32.5985,-116.5341,2016-06-20,Terra,MODIS,131.9,0,314.2,95,2016,6,2016-06-20,20,high,high
32.6002,-116.6407,2016-06-19,Aqua,MODIS,271.1,0,324.0,100,2016,6,2016-06-19,19,high,high
32.6004,-116.5552,2016-06-20,Terra,MODIS,628.2,0,322.7,100,2016,6,2016-06-20,20,high,high
32.6023,-116.5762,2016-06-20,Terra,MODIS,54.5,0,320.3,68,2016,6,2016-06-20,20,medium,medium-high
32.6033,-116.624,2016-06-19,Aqua,MODIS,529.3,0,321.4,100,2016,6,2016-06-19,19,high,high
32.6037,-114.6771,2016-07-18,Terra,MODIS,126.1,0,317.8,100,2016,7,2016-07-18,18,high,high
32.604,-116.5612,2016-06-20,Aqua,MODIS,331.0,0,325.5,100,2016,6,2016-06-20,20,high,high
32.6054,-114.6879,2016-07-18,Terra,MODIS,22.5,0,314.6,82,2016,7,2016-07-18,18,high,medium-low
32.6056,-116.5439,2016-06-20,Aqua,MODIS,1614.7,0,341.3,100,2016,6,2016-06-20,20,high,high
