"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72494693232","2013-01-01","37.33333","-121.81667","40.5","SAN JOSE REID HILLVIEW AIRPORT, CA US","  47.8","15","  34.9","15","9999.9"," 0","019.3","15"," 10.0","15","  3.4","15","  9.9","999.9","  53.6","*","  37.4","*"," 0.00","I","999.9","000000"
"72494693232","2013-01-02","37.33333","-121.81667","40.5","SAN JOSE REID HILLVIEW AIRPORT, CA US","  47.3","16","  33.8","16","9999.9"," 0","018.6","16"," 10.0","16","  1.1","16","  6.0","999.9","  59.0","*","  32.0","*"," 0.00","I","999.9","000000"
"72494693232","2013-01-03","37.33333","-121.81667","40.5","SAN JOSE REID HILLVIEW AIRPORT, CA US","  48.6","14","  36.0","14","9999.9"," 0","017.8","14"," 10.0","14","  1.9","14","  8.0","999.9","  57.2","*","  33.8","*"," 0.00","I","999.9","000000"
"72494693232","2013-01-04","37.33333","-121.81667","40.5","SAN JOSE REID HILLVIEW AIRPORT, CA US","  48.3","15","  37.9","15","9999.9"," 0","019.6","15"," 10.0","15","  2.2","15","  6.0","999.9","  60.8","*","  35.6","*"," 0.00","I","999.9","000000"
"72494693232","2013-01-05","37.33333","-121.81667","40.5","SAN JOSE REID HILLVIEW AIRPORT, CA US","  49.2","13","  42.1","13","9999.9"," 0","018.6","13","  9.8","13","  2.6","13"," 15.9","999.9","  57.2","*","  39.2","*"," 0.00","I","999.9","000000"
"72494693232","2013-01-06","37.33333","-121.81667","40.5","SAN JOSE REID HILLVIEW AIRPORT, CA US","  49.6","10","  46.2","10","9999.9"," 0","015.9","10","  6.1","10","  9.0","10"," 13.0","999.9","  53.6","*","  46.4","*","99.99"," ","999.9","010000"
"72494693232","2013-01-07","37.33333","-121.81667","40.5","SAN JOSE REID HILLVIEW AIRPORT, CA US","  48.9","11","  43.1","11","9999.9"," 0","018.1","11","  9.0","11","  4.3","11","  9.9","999.9","  59.0","*","  35.6","*"," 0.00","I","999.9","000000"
"72494693232","2013-01-08","37.33333","-121.81667","40.5","SAN JOSE REID HILLVIEW AIRPORT, CA US","  51.2","14","  45.6","14","9999.9"," 0","017.6","14","  7.3","14","  1.2","14","  6.0","999.9","  60.8","*","  41.0","*"," 0.00","I","999.9","100000"
"72494693232","2013-01-09","37.33333","-121.81667","40.5","SAN JOSE REID HILLVIEW AIRPORT, CA US","  49.5","14","  45.6","14","9999.9"," 0","014.8","14","  6.2","14","  2.1","14","  8.0","999.9","  59.0","*","  41.0","*"," 0.00","I","999.9","100000"
"72494693232","2013-01-10","37.33333","-121.81667","40.5","SAN JOSE REID HILLVIEW AIRPORT, CA US","  47.6","15","  38.2","15","9999.9"," 0","014.6","13","  8.8","15"," 10.5","15"," 20.0","999.9","  50.0","*","  37.4","*","99.99"," ","999.9","010000"
"72494693232","2013-01-11","37.33333","-121.81667","40.5","SAN JOSE REID HILLVIEW AIRPORT, CA US","  44.5","14","  34.1","14","9999.9"," 0","018.2","14"," 10.0","14","  4.8","14","  9.9","999.9","  51.8","*","  32.0","*"," 0.00","I","999.9","000000"
