latitude,longitude,acq_date,satellite,instrument,frp,type,bright_t31,confidence,year,month,datetime
38.7197,-121.8589,2019-09-26,Terra,MODIS,41.0,0,307.7,78,2019,9,2019-09-26
38.7198,-122.7226,2019-10-26,Aqua,MODIS,689.1,0,308.6,100,2019,10,2019-10-26
38.7198,-120.1337,2019-10-09,Aqua,MODIS,25.2,0,290.6,66,2019,10,2019-10-09
38.7201,-121.7067,2019-07-08,Aqua,MODIS,12.6,0,309.5,63,2019,7,2019-07-08
38.7201,-120.152,2019-10-08,Terra,MODIS,16.1,0,282.5,53,2019,10,2019-10-08
38.7203,-122.7517,2019-10-26,Terra,MODIS,46.4,0,295.5,100,2019,10,2019-10-26
38.7204,-122.6828,2019-10-30,Terra,MODIS,35.1,0,281.9,91,2019,10,2019-10-30
38.7205,-122.4358,2019-03-21,Terra,MODIS,19.2,0,286.9,50,2019,3,2019-03-21
38.7206,-122.713,2019-10-28,Terra,MODIS,11.3,0,282.2,63,2019,10,2019-10-28
38.7206,-120.1479,2019-10-07,Aqua,MODIS,80.1,0,295.2,97,2019,10,2019-10-07
38.7208,-120.1453,2019-10-08,Terra,MODIS,159.0,0,295.4,93,2019,10,2019-10-08
38.7209,-122.425,2019-03-12,Terra,MODIS,15.3,0,289.2,57,2019,3,2019-03-12
38.721,-122.7053,2019-10-28,Aqua,MODIS,65.2,0,285.8,100,2019,10,2019-10-28
38.7211,-120.1449,2019-10-11,Aqua,MODIS,29.9,0,279.7,59,2019,10,2019-10-11
38.7213,-122.8531,2019-10-24,Aqua,MODIS,85.9,0,291.8,100,2019,10,2019-10-24
38.7214,-122.8075,2019-10-24,Aqua,MODIS,502.7,0,300.2,100,2019,10,2019-10-24
38.7214,-122.7518,2019-10-26,Aqua,MODIS,42.6,0,292.7,100,2019,10,2019-10-26
38.7217,-121.6952,2019-07-08,Aqua,MODIS,10.6,0,306.6,57,2019,7,2019-07-08
38.722,-122.7403,2019-10-26,Terra,MODIS,58.5,0,296.8,100,2019,10,2019-10-26
38.7227,-122.7166,2019-10-28,Aqua,MODIS,8.4,0,281.9,57,2019,10,2019-10-28
38.7227,-122.4456,2019-03-12,Terra,MODIS,16.3,0,288.6,58,2019,3,2019-03-12
38.7235,-120.1547,2019-10-06,Aqua,MODIS,69.2,0,282.2,58,2019,10,2019-10-06
38.7238,-119.7818,2019-07-15,Aqua,MODIS,17.9,0,313.3,54,2019,7,2019-07-15
38.7238,-119.7726,2019-07-15,Terra,MODIS,85.5,0,301.8,64,2019,7,2019-07-15
38.7239,-122.7658,2019-10-26,Aqua,MODIS,41.6,0,291.9,100,2019,10,2019-10-26
38.724,-122.7239,2019-10-30,Terra,MODIS,252.0,0,290.3,100,2019,10,2019-10-30
38.7242,-122.6891,2019-10-30,Aqua,MODIS,45.3,0,281.1,100,2019,10,2019-10-30
38.7246,-120.1153,2019-10-11,Terra,MODIS,89.4,0,277.3,82,2019,10,2019-10-11
38.7254,-119.7662,2019-07-15,Aqua,MODIS,22.7,0,314.5,70,2019,7,2019-07-15
38.7256,-122.8281,2019-10-24,Aqua,MODIS,416.4,0,300.3,100,2019,10,2019-10-24
38.7257,-122.6846,2019-10-29,Terra,MODIS,76.2,0,293.7,91,2019,10,2019-10-29
38.7258,-122.7564,2019-10-27,Aqua,MODIS,66.1,0,289.6,56,2019,10,2019-10-27
38.7261,-122.7464,2019-10-26,Terra,MODIS,150.3,0,301.2,87,2019,10,2019-10-26
38.7265,-122.7982,2019-10-24,Terra,MODIS,129.8,0,292.4,67,2019,10,2019-10-24
38.7271,-120.1331,2019-10-10,Terra,MODIS,11.8,0,274.0,50,2019,10,2019-10-10
38.7272,-122.7401,2019-10-27,Terra,MODIS,42.5,0,294.1,91,2019,10,2019-10-27
38.7272,-121.4308,2019-09-20,Aqua,MODIS,148.3,0,304.0,88,2019,9,2019-09-20
38.7273,-122.7941,2019-10-24,Aqua,MODIS,59.5,0,291.9,89,2019,10,2019-10-24
38.7273,-122.7008,2019-10-29,Terra,MODIS,155.2,0,295.7,99,2019,10,2019-10-29
38.7275,-122.7652,2019-10-26,Terra,MODIS,128.4,0,301.3,100,2019,10,2019-10-26
38.7276,-121.439,2019-09-20,Aqua,MODIS,73.9,0,304.0,80,2019,9,2019-09-20
38.728,-122.7111,2019-10-29,Terra,MODIS,41.9,0,282.6,87,2019,10,2019-10-29
38.7282,-122.7034,2019-10-30,Terra,MODIS,22.2,0,282.3,69,2019,10,2019-10-30
38.7286,-119.7653,2019-07-15,Terra,MODIS,80.6,0,302.6,51,2019,7,2019-07-15
38.7289,-122.7852,2019-10-24,Aqua,MODIS,181.4,0,297.7,100,2019,10,2019-10-24
38.7289,-122.777,2019-10-24,Aqua,MODIS,96.3,0,288.8,94,2019,10,2019-10-24
38.7289,-122.7069,2019-10-27,Aqua,MODIS,138.5,0,285.8,100,2019,10,2019-10-27
38.7291,-122.7189,2019-10-29,Terra,MODIS,173.3,0,296.4,100,2019,10,2019-10-29
38.7292,-122.7538,2019-10-26,Terra,MODIS,33.5,0,296.3,88,2019,10,2019-10-26
38.7294,-121.4042,2019-09-20,Aqua,MODIS,61.9,0,300.5,78,2019,9,2019-09-20
38.7296,-122.847,2019-10-24,Aqua,MODIS,262.6,0,296.6,100,2019,10,2019-10-24
38.7299,-122.6861,2019-10-29,Terra,MODIS,104.3,0,284.5,100,2019,10,2019-10-29
38.73,-122.7465,2019-10-27,Terra,MODIS,216.6,0,287.7,100,2019,10,2019-10-27
38.7309,-122.7424,2019-10-26,Terra,MODIS,57.7,0,295.2,100,2019,10,2019-10-26
38.7311,-122.744,2019-10-27,Aqua,MODIS,589.1,0,291.8,100,2019,10,2019-10-27
38.7313,-122.7471,2019-10-30,Terra,MODIS,53.2,0,282.2,100,2019,10,2019-10-30
38.7321,-122.6755,2019-10-30,Aqua,MODIS,15.4,0,278.9,79,2019,10,2019-10-30
38.7327,-121.7793,2019-09-18,Terra,MODIS,25.5,0,303.3,72,2019,9,2019-09-18
38.7331,-122.8053,2019-10-24,Aqua,MODIS,786.9,0,312.2,100,2019,10,2019-10-24
38.7333,-122.7817,2019-10-27,Aqua,MODIS,416.0,0,288.8,100,2019,10,2019-10-27
38.7337,-122.7637,2019-10-26,Aqua,MODIS,51.6,0,292.4,100,2019,10,2019-10-26
38.7349,-114.7546,2019-11-11,Terra,MODIS,60.6,0,276.0,96,2019,11,2019-11-11
38.7356,-122.7259,2019-10-30,Terra,MODIS,622.1,0,292.1,100,2019,10,2019-10-30
38.7364,-122.7673,2019-10-26,Terra,MODIS,16.3,0,292.4,51,2019,10,2019-10-26
38.7373,-122.826,2019-10-24,Aqua,MODIS,124.1,0,293.1,100,2019,10,2019-10-24
38.7383,-122.7985,2019-10-24,Aqua,MODIS,79.0,0,291.3,92,2019,10,2019-10-24
38.7389,-121.7818,2019-11-15,Aqua,MODIS,4.5,0,295.0,52,2019,11,2019-11-15
38.7394,-122.707,2019-10-30,Terra,MODIS,170.2,0,282.4,100,2019,10,2019-10-30
38.7397,-122.7445,2019-10-26,Terra,MODIS,25.7,0,292.8,89,2019,10,2019-10-26
38.74,-122.7799,2019-10-24,Aqua,MODIS,87.9,0,287.8,92,2019,10,2019-10-24
38.74,-122.7747,2019-10-25,Terra,MODIS,38.1,0,284.1,57,2019,10,2019-10-25
38.7407,-122.7834,2019-10-24,Aqua,MODIS,510.4,0,306.6,100,2019,10,2019-10-24
38.7409,-122.7912,2019-10-25,Aqua,MODIS,90.3,0,304.0,88,2019,10,2019-10-25
38.7412,-122.8447,2019-10-24,Aqua,MODIS,118.1,0,292.2,100,2019,10,2019-10-24
