event_id,fire_start_date,fire_end_date,fire_duration_days,fire_latitude,fire_longitude,fire_max_frp,fire_avg_frp,fire_total_frp,confidence,station_id,station_name,station_distance_km,avg_temp_30d,max_temp_30d,avg_max_temp_30d,total_precip_30d,days_without_rain,avg_wind_speed,max_wind_speed,avg_dewpoint,temp_precip_ratio
4,2015-01-20,2015-01-20,1,33.4536,-114.7163,82.0,49.95,199.8,96,74718823158,"BLYTHE ASOS, CA US",18.33383666704001,54.626315789473686,75.9,69.41578947368421,0.05,18,3.973684210526316,17.1,32.18421052631578,364.1754385964912
6,2015-01-14,2015-01-14,1,33.6038,-114.6912,6.2,6.2,6.2,64,74718823158,"BLYTHE ASOS, CA US",3.074434910956173,53.16153846153847,75.9,68.0,0.05,12,3.784615384615385,17.1,32.74615384615385,354.4102564102564
7,2015-01-21,2015-01-21,1,33.7759,-118.2836,14.8,14.8,14.8,73,72295503174,"TORRANCE, CA US",6.925075077605959,61.14999999999999,84.2,70.07000000000001,199.98,18,4.694999999999999,14.0,46.644999999999996,0.3056277489004398
8,2015-01-25,2015-01-25,1,34.0175,-117.6161,32.6,23.7,118.5,100,72289903179,"CHINO AIRPORT, CA US",4.748426133551556,55.229166666666664,84.9,72.875,0.66,21,2.9499999999999997,22.9,38.29583333333333,72.66995614035088
9,2015-01-13,2015-01-21,9,34.0936,-117.5346,6.1,4.8,28.8,66,74704003102,"ONTARIO INTERNATIONAL AIRPORT, CA US",6.496540593247438,54.4,84.9,69.89999999999999,0.57,10,2.0916666666666663,12.0,35.791666666666664,81.19402985074628
11,2015-01-13,2015-01-13,1,34.4964,-115.5038,77.1,33.13333333333333,99.4,99,72380523179,"NEEDLES AIRPORT, CA US",102.79175297739222,53.58333333333332,78.1,67.14166666666667,0.03,11,4.9416666666666655,17.1,31.733333333333334,412.17948717948707
12,2015-01-13,2015-01-29,17,34.7863,-118.5073,55.9,23.142857142857142,162.0,82,72383023187,"SANDBERG, CA US",24.655425467764395,49.474999999999994,68.0,58.833333333333336,0.98,10,9.783333333333333,22.9,21.283333333333335,45.810185185185176
14,2015-01-31,2015-01-31,1,35.6153,-115.3631,594.3,280.0333333333333,840.0999999999999,87,72209653127,"LAS VEGAS HENDERSON AIRPORT, NV US",47.5308449595435,49.08571428571428,71.1,61.16666666666668,0.5900000000000001,19,5.276190476190477,15.0,28.642857142857142,71.13871635610765
19,2015-01-14,2015-01-14,1,36.4169,-119.1277,21.2,21.2,21.2,61,72389693144,"VISALIA MUNICIPAL AIRPORT, CA US",32.2078589457744,46.0923076923077,64.4,59.83076923076923,0.0,13,1.4615384615384615,8.0,37.08461538461538,460.92307692307696
20,2015-01-06,2015-01-06,1,37.0284,-119.2925,8.8,8.8,8.8,62,72389093193,"FRESNO YOSEMITE INTERNATIONAL, CA US",54.897395550132714,40.44,60.1,55.239999999999995,0.0,5,1.52,11.1,29.54,404.4
22,2015-01-31,2015-01-31,1,38.0157,-121.5026,7.4,7.4,7.4,56,72492023237,"STOCKTON AIRPORT, CA US",33.688279791372565,46.92,66.0,58.67666666666667,0.04,26,2.776666666666667,11.1,42.32666666666667,335.1428571428571
23,2015-01-13,2015-01-13,1,38.1392,-121.8079,6.8,6.8,6.8,56,99847899999,"PITTSBURG SUISUN BAY, CA US",13.910319645859898,47.85833333333333,63.0,57.51666666666667,0.0,12,3.525,9.9,9999.899999999998,478.58333333333326
24,2015-01-30,2015-01-30,1,38.1488,-121.6006,31.1,28.950000000000003,57.900000000000006,71,99847899999,"PITTSBURG SUISUN BAY, CA US",33.92883456884428,48.79655172413794,66.2,57.42413793103447,0.0,29,3.8758620689655165,13.0,9999.900000000001,487.9655172413794
