latitude,longitude,acq_date,satellite,instrument,frp,type,bright_t31,confidence,year,month,datetime,day,confidence_level,frp_category
32.5308,-114.7806,2014-06-12,Aqua,MODIS,34.7,0,321.4,92,2014,6,2014-06-12,12,high,medium-low
32.5323,-114.7701,2014-06-12,Aqua,MODIS,64.1,0,321.3,100,2014,6,2014-06-12,12,high,medium-high
32.5702,-114.5877,2014-03-28,Aqua,MODIS,37.8,0,305.0,57,2014,3,2014-03-28,28,medium,medium-low
32.5714,-114.5715,2014-03-28,Terra,MODIS,80.3,0,304.0,90,2014,3,2014-03-28,28,high,medium-high
32.5739,-114.5694,2014-03-28,Aqua,MODIS,47.9,0,308.0,67,2014,3,2014-03-28,28,medium,medium-high
32.5749,-114.5842,2014-03-28,Aqua,MODIS,83.2,0,305.6,89,2014,3,2014-03-28,28,high,medium-high
32.5766,-114.5759,2014-04-15,Terra,MODIS,176.0,0,316.3,100,2014,4,2014-04-15,15,high,high
32.5787,-114.5879,2014-04-15,Terra,MODIS,33.3,0,310.8,81,2014,4,2014-04-15,15,high,medium-low
32.5793,-114.7041,2014-06-21,Aqua,MODIS,7.2,0,293.0,62,2014,6,2014-06-21,21,medium,low
32.5813,-114.716,2014-06-21,Aqua,MODIS,9.6,0,293.4,73,2014,6,2014-06-21,21,high,low
32.5839,-114.6059,2014-06-30,Aqua,MODIS,14.9,0,317.6,64,2014,6,2014-06-30,30,medium,low
32.5861,-114.5736,2014-04-15,Terra,MODIS,55.2,0,314.8,92,2014,4,2014-04-15,15,high,medium-high
32.5863,-114.5867,2014-03-10,Aqua,MODIS,43.3,0,309.4,87,2014,3,2014-03-10,10,high,medium-high
32.5904,-114.6857,2014-06-30,Aqua,MODIS,54.7,0,322.2,94,2014,6,2014-06-30,30,high,medium-high
32.5916,-114.6111,2014-09-15,Terra,MODIS,17.7,0,311.5,72,2014,9,2014-09-15,15,high,low
32.5933,-114.6219,2014-09-15,Terra,MODIS,27.1,0,310.4,83,2014,9,2014-09-15,15,high,medium-low
32.5962,-114.5862,2014-12-20,Terra,MODIS,28.3,0,289.2,86,2014,12,2014-12-20,20,high,medium-low
