STATION,NAME,LATITUDE,LONGITUDE
99847499999,"DAVIS POINT SAN PABLO BAY, CA US",38.057,-122.259
99847599999,"MARTINEZ AMORCO, CA US",38.033,-122.125
72483993225,"SACRAMENTO METROPOLITAN AIRPORT, CA US",38.70069,-121.59479
72376293244,"SANTA YNEZ AIRPORT, CA US",34.60694,-120.07556
74704003102,"ONTARIO INTERNATIONAL AIRPORT, CA US",34.05314,-117.57689
72290023188,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",32.7336,-117.1831
72293453121,"OCEANSIDE MUNICIPAL AIRPORT, CA US",33.21946,-117.34962
99999953138,"BAKER 5 W, NV US",39.0118,-114.209
72387003160,"DESERT ROCK AIRPORT, NV US",36.6206,-116.0278
99817599999,"CAL POLY PIER, CA US",35.1666666,-120.7333333
72393093214,"VANDENBERG AFB, CA US",34.71667,-120.56667
72378853135,"LAUGHLIN BULLHEAD INTERNATIONAL AIRPORT, AZ US",35.15722,-114.55944
99402399999,"PORT SAN LUIS, CA US",35.177,-120.76
99402299999,"POINT REYES, CA US",37.99,-122.975
72392523190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",34.4241,-119.84249
99401799999,"NORTH SPIT, CA US",40.767,-124.217
99401699999,"SAN FRANCISCO, CA US",37.807,-122.465
72492723285,"LIVERMORE MUNICIPAL AIRPORT, CA US",37.69309,-121.8149
99999993243,"MERCED 23 WSW, CA US",37.2381,-120.8825
72492023237,"STOCKTON AIRPORT, CA US",37.88997,-121.22637
99402899999,"SANTA MONICA PIER, CA US",34.008,-118.5
72381023114,"EDWARDS AFB, CA US",34.9,-117.86667
99799799999,"ELKHORN SLOUGH RESERVE, CA US",36.8166666,-121.7333333
72494693232,"SAN JOSE REID HILLVIEW AIRPORT, CA US",37.33333,-121.81667
72584793230,"SOUTH LAKE TAHOE AIRPORT, CA US",38.89838,-119.99617
74504893210,"OROVILLE MUNICIPAL AIRPORT, CA US",39.4943,-121.62226
72584693201,"TRUCKEE AIRPORT, CA US",39.32,-120.13944
74718603164,"CAMPO ASOS, CA US",32.6261,-116.4681
72495593227,"NAPA CO AIRPORT, CA US",38.2075,-122.28041
72488593102,"FALLON NAAS, NV US",39.41667,-118.71667
72386023169,"MCCARRAN INTERNATIONAL AIRPORT, NV US",36.0719,-115.16343
72488023185,"RENO AIRPORT, NV US",39.50769,-119.76829
99801399999,"TIJUANA RIVER RESERVE, CA US",32.5745,-117.127
72287493134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911
