Feature,Importance
avg_temp_30d,0.2212706
max_temp_30d,0.19767022
avg_dewpoint,0.13639952
max_wind_speed,0.12156303
temp_precip_ratio,0.0928074
fire_duration_days,0.06759851
avg_max_temp_30d,0.0642587
avg_wind_speed,0.054972723
total_precip_30d,0.03135466
days_without_rain,0.012104683
