latitude,longitude,acq_date,satellite,instrument,frp,type,bright_t31,confidence,year,month,datetime
32.5075,-114.7997,2018-08-14,Terra,MODIS,20.5,0,309.9,69,2018,8,2018-08-14
32.5883,-114.725,2018-01-31,Terra,MODIS,10.0,0,297.3,57,2018,1,2018-01-31
32.5948,-114.6296,2018-01-31,Terra,MODIS,15.0,0,296.5,71,2018,1,2018-01-31
32.603,-114.6363,2018-01-12,Aqua,MODIS,23.2,0,297.7,79,2018,1,2018-01-12
32.6045,-114.6546,2018-01-11,Aqua,MODIS,29.9,0,295.6,68,2018,1,2018-01-11
32.6094,-114.6312,2018-01-11,Aqua,MODIS,32.6,0,294.0,70,2018,1,2018-01-11
32.6108,-114.6376,2018-01-11,Terra,MODIS,14.9,0,292.6,68,2018,1,2018-01-11
32.6152,-116.1354,2018-11-20,Terra,MODIS,7.3,0,298.0,63,2018,11,2018-11-20
32.6207,-114.6081,2018-08-14,Terra,MODIS,119.5,0,307.6,96,2018,8,2018-08-14
32.6239,-114.6138,2018-08-14,Terra,MODIS,79.3,0,307.4,89,2018,8,2018-08-14
32.6358,-114.6397,2018-11-13,Aqua,MODIS,31.7,0,296.4,60,2018,11,2018-11-13
32.6394,-116.4697,2018-06-06,Aqua,MODIS,310.6,0,310.2,88,2018,6,2018-06-06
32.6401,-116.4665,2018-06-06,Aqua,MODIS,310.7,0,310.2,88,2018,6,2018-06-06
32.6427,-114.6061,2018-11-13,Terra,MODIS,59.7,2,297.6,95,2018,11,2018-11-13
32.6444,-114.6169,2018-11-13,Terra,MODIS,19.8,2,296.7,80,2018,11,2018-11-13
32.6445,-114.6028,2018-11-13,Aqua,MODIS,34.6,2,297.0,62,2018,11,2018-11-13
32.6473,-114.7413,2018-07-05,Terra,MODIS,22.4,0,315.0,51,2018,7,2018-07-05
32.6483,-116.4374,2018-06-06,Terra,MODIS,61.6,0,319.7,98,2018,6,2018-06-06
32.6498,-116.4479,2018-06-06,Terra,MODIS,383.6,0,335.3,100,2018,6,2018-06-06
32.65,-115.6194,2018-07-14,Terra,MODIS,4.8,0,300.5,76,2018,7,2018-07-14
32.6514,-116.4585,2018-06-06,Terra,MODIS,25.6,0,317.5,86,2018,6,2018-06-06
32.6537,-116.4498,2018-06-06,Aqua,MODIS,116.8,0,309.5,80,2018,6,2018-06-06
32.6563,-116.4581,2018-06-06,Aqua,MODIS,103.2,0,309.2,79,2018,6,2018-06-06
32.6572,-116.4356,2018-06-06,Terra,MODIS,170.3,0,317.0,100,2018,6,2018-06-06
32.6588,-116.4462,2018-06-06,Terra,MODIS,448.3,0,331.7,100,2018,6,2018-06-06
32.6609,-115.5293,2018-05-13,Terra,MODIS,242.1,0,309.3,89,2018,5,2018-05-13
32.6615,-115.536,2018-05-13,Terra,MODIS,804.2,0,310.3,100,2018,5,2018-05-13
32.677,-115.6315,2018-05-18,Aqua,MODIS,91.0,0,323.5,95,2018,5,2018-05-18
32.678000000000004,-115.6054,2018-07-17,Terra,MODIS,12.1,0,307.0,74,2018,7,2018-07-17
32.6791,-115.5088,2018-12-09,Terra,MODIS,17.2,2,283.6,53,2018,12,2018-12-09
32.6839,-115.6488,2018-07-17,Terra,MODIS,12.5,0,307.1,75,2018,7,2018-07-17
32.684,-115.582,2018-07-17,Terra,MODIS,11.5,0,307.1,73,2018,7,2018-07-17
32.684,-115.4139,2018-09-24,Terra,MODIS,12.3,0,316.8,63,2018,9,2018-09-24
32.6855,-115.5928,2018-07-17,Terra,MODIS,14.5,0,307.3,76,2018,7,2018-07-17
32.687,-115.6037,2018-07-17,Terra,MODIS,13.3,0,307.5,71,2018,7,2018-07-17
32.6879,-115.6331,2018-05-18,Aqua,MODIS,53.4,0,317.5,64,2018,5,2018-05-18
32.693000000000005,-115.6471,2018-07-17,Terra,MODIS,11.3,0,306.7,73,2018,7,2018-07-17
32.702,-115.4012,2018-05-31,Terra,MODIS,47.4,0,312.1,51,2018,5,2018-05-31
32.7026,-115.4078,2018-05-31,Terra,MODIS,60.7,0,312.0,59,2018,5,2018-05-31
32.7074,-114.0368,2018-03-20,Terra,MODIS,47.8,0,282.1,78,2018,3,2018-03-20
32.7109,-114.7645,2018-01-30,Terra,MODIS,15.3,0,285.3,76,2018,1,2018-01-30
32.7111,-114.014,2018-03-20,Aqua,MODIS,60.4,0,281.0,78,2018,3,2018-03-20
32.712,-114.0336,2018-03-20,Terra,MODIS,18.6,0,305.4,73,2018,3,2018-03-20
32.7122,-114.548,2018-08-03,Aqua,MODIS,27.8,2,316.9,89,2018,8,2018-08-03
32.7146,-114.0088,2018-03-20,Aqua,MODIS,85.6,0,281.1,94,2018,3,2018-03-20
32.7152,-114.0432,2018-03-20,Terra,MODIS,115.6,0,282.6,100,2018,3,2018-03-20
32.7168,-114.0389,2018-03-20,Aqua,MODIS,67.9,0,278.5,83,2018,3,2018-03-20
32.7172,-114.0172,2018-03-20,Terra,MODIS,77.9,0,284.3,98,2018,3,2018-03-20
32.7184,-114.6005,2018-05-20,Aqua,MODIS,36.7,2,295.5,79,2018,5,2018-05-20
32.7196,-114.0209,2018-03-20,Terra,MODIS,35.0,0,310.2,88,2018,3,2018-03-20
32.721,-114.0382,2018-03-20,Terra,MODIS,101.9,0,281.4,100,2018,3,2018-03-20
32.7211,-114.032,2018-03-20,Terra,MODIS,127.2,0,313.2,100,2018,3,2018-03-20
32.7226,-114.043,2018-03-20,Terra,MODIS,107.4,0,304.3,100,2018,3,2018-03-20
32.7281,-114.6021,2018-05-20,Aqua,MODIS,96.1,2,295.5,100,2018,5,2018-05-20
32.7306,-115.5946,2018-09-17,Aqua,MODIS,11.8,0,294.6,66,2018,9,2018-09-17
32.7323,-114.0357,2018-02-05,Terra,MODIS,19.5,0,298.9,72,2018,2,2018-02-05
32.7344,-114.0482,2018-02-05,Terra,MODIS,27.5,0,300.4,79,2018,2,2018-02-05
32.7422,-115.4779,2018-01-23,Aqua,MODIS,7.4,0,300.3,53,2018,1,2018-01-23
32.7494,-115.4821,2018-08-25,Terra,MODIS,11.9,0,312.1,60,2018,8,2018-08-25
32.7538,-114.5385,2018-03-15,Aqua,MODIS,37.1,0,292.5,56,2018,3,2018-03-15
32.7611,-114.5254,2018-03-15,Aqua,MODIS,47.2,0,296.6,52,2018,3,2018-03-15
32.7617,-116.5665,2018-04-03,Terra,MODIS,23.2,0,292.8,78,2018,4,2018-04-03
32.7617,-116.5565,2018-01-25,Terra,MODIS,25.1,0,286.9,71,2018,1,2018-01-25
32.7648,-116.5724,2018-01-25,Terra,MODIS,23.8,0,286.0,70,2018,1,2018-01-25
32.7651,-115.6861,2018-03-25,Aqua,MODIS,78.1,0,286.5,100,2018,3,2018-03-25
32.7656,-116.5513,2018-01-18,Terra,MODIS,31.5,0,284.4,82,2018,1,2018-01-18
32.7669,-115.7051,2018-03-25,Aqua,MODIS,17.5,0,283.5,50,2018,3,2018-03-25
32.768,-116.5645,2018-01-18,Terra,MODIS,177.8,0,283.7,100,2018,1,2018-01-18
32.7707,-116.5647,2018-04-03,Terra,MODIS,11.6,0,294.1,55,2018,4,2018-04-03
32.7769,-115.6845,2018-03-25,Aqua,MODIS,42.1,0,283.2,95,2018,3,2018-03-25
32.7784,-115.3528,2018-05-07,Terra,MODIS,20.0,0,319.8,60,2018,5,2018-05-07
32.7905,-115.6626,2018-08-30,Aqua,MODIS,32.8,0,316.7,55,2018,8,2018-08-30
32.795,-115.6592,2018-08-31,Terra,MODIS,7.6,0,298.4,78,2018,8,2018-08-31
32.7954,-114.5479,2018-08-14,Terra,MODIS,119.8,0,309.9,96,2018,8,2018-08-14
32.7985,-114.5629,2018-07-24,Terra,MODIS,36.1,2,315.1,90,2018,7,2018-07-24
32.7987,-114.5534,2018-08-14,Terra,MODIS,195.0,0,311.5,100,2018,8,2018-08-14
32.799,-114.5657,2018-08-14,Terra,MODIS,142.1,2,310.3,99,2018,8,2018-08-14
32.8002,-116.6363,2018-03-21,Terra,MODIS,25.8,0,288.0,59,2018,3,2018-03-21
32.8002,-114.5737,2018-07-24,Terra,MODIS,15.3,2,313.2,76,2018,7,2018-07-24
32.8021,-114.5713,2018-08-14,Terra,MODIS,76.7,2,309.4,89,2018,8,2018-08-14
32.8024,-115.4865,2018-05-19,Aqua,MODIS,52.7,0,313.2,52,2018,5,2018-05-19
32.8025,-115.6716,2018-08-31,Terra,MODIS,6.2,0,297.5,72,2018,8,2018-08-31
32.804,-115.661,2018-08-31,Terra,MODIS,15.0,0,298.0,98,2018,8,2018-08-31
32.8067,-114.5448,2018-08-14,Terra,MODIS,33.6,0,308.5,72,2018,8,2018-08-14
32.808,-115.4603,2018-05-19,Aqua,MODIS,77.1,0,313.3,71,2018,5,2018-05-19
32.8103,-114.5626,2018-08-14,Terra,MODIS,45.3,2,308.7,80,2018,8,2018-08-14
32.8139,-115.467,2018-05-19,Aqua,MODIS,94.5,0,311.2,79,2018,5,2018-05-19
32.8199,-116.7282,2018-02-28,Terra,MODIS,13.5,0,287.3,71,2018,2,2018-02-28
32.8216,-116.7097,2018-03-07,Terra,MODIS,11.5,0,293.9,64,2018,3,2018-03-07
32.8495,-116.7431,2018-02-20,Aqua,MODIS,11.7,0,293.4,65,2018,2,2018-02-20
