"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72483993225","2018-01-01","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","  48.3","24","  41.2","24","1021.7","23","020.7","24","  9.3","24","  2.3","24","  6.0","999.9","  64.9"," ","  33.1"," "," 0.00","G","999.9","000000"
"72483993225","2018-01-02","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","  47.6","24","  42.5","24","1022.1","24","021.0","24","  9.0","24","  2.2","24","  5.1","999.9","  64.9"," ","  34.0"," "," 0.00","G","999.9","000000"
"72483993225","2018-01-03","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","  49.6","24","  45.6","24","1018.8","23","017.7","24","  8.8","24","  1.3","24","  5.1","999.9","  60.1"," ","  34.0"," "," 0.00","G","999.9","100000"
"72483993225","2018-01-04","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","  54.1","24","  50.9","24","1017.6","17","016.8","24","  4.6","24","  3.5","24","  8.0","999.9","  64.9"," ","  39.0"," "," 0.36","G","999.9","110000"
"72483993225","2018-01-05","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","  56.1","24","  54.6","24","1020.3","22","019.3","24","  4.5","24","  5.2","24","  8.0","999.9","  64.9"," ","  48.9"," "," 0.15","G","999.9","010000"
"72483993225","2018-01-06","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","  53.7","24","  53.0","24","1021.7","20","020.7","24","  8.0","24","  5.6","24","  8.9","999.9","  60.1"," ","  45.0"," "," 0.10","G","999.9","110000"
"72483993225","2018-01-07","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","  44.2","24","  43.6","24","1021.2","20","020.2","24","  7.6","24","  2.7","24","  8.0","999.9","  57.0"," ","  34.0"," "," 0.00","G","999.9","100000"
"72483993225","2018-01-08","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","  48.6","24","  48.4","24","1014.5","17","012.5","24","  6.5","24","  3.4","24","  7.0","999.9","  51.1"," ","  34.0"," "," 0.04","G","999.9","010000"
"72483993225","2018-01-09","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","  52.5","24","  52.4","24","1004.2","13","002.8","24","  6.1","24","  6.8","24"," 13.0","999.9","  57.9"," ","  46.9"," "," 3.06","G","999.9","010000"
"72483993225","2018-01-10","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","  52.9","24","  50.2","24","1016.3","17","014.2","24","  9.3","24","  7.9","24"," 12.0","999.9","  57.9"," ","  48.9"," "," 0.11","G","999.9","010000"
"72483993225","2018-01-11","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","  49.2","24","  46.7","24","1024.8","23","023.7","24"," 10.0","24","  3.9","24","  8.9","999.9","  59.0"," ","  39.0"," "," 0.00","G","999.9","000000"
"72483993225","2018-01-12","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","  50.3","24","  49.0","24","1026.6","15","025.9","24","  5.1","24","  5.2","24"," 12.0","999.9","  61.0"," ","  39.0"," "," 0.00","G","999.9","100000"
"72483993225","2018-01-13","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","  48.6","24","  47.4","24","1025.2","17","023.9","24","  3.5","24","  2.8","24","  8.0","999.9","  61.0"," ","  39.0"," "," 0.00","G","999.9","100000"
"72483993225","2018-01-14","38.70069","-121.59479","7.5","SACRAMENTO METROPOLITAN AIRPORT, CA US","  48.3","24","  47.8","24","1022.8","13","021.8","23","  2.8","24","  1.4","24","  4.1","999.9","  54.0"," ","  42.1"," "," 0.00","G","999.9","100000"
