event_id,start_date,end_date,duration_days,num_detections,latitude,longitude,max_frp,avg_frp,total_frp,max_confidence,avg_confidence,year,month,day
54,2017-02-01,2017-02-01,1,1,36.4583,-121.4789,8.5,8.5,8.5,66,66.0,2017,2,1
55,2017-02-03,2017-02-03,1,1,36.4802,-119.9116,11.4,11.4,11.4,71,71.0,2017,2,3
56,2017-02-03,2017-02-03,1,1,36.5533,-120.5139,6.0,6.0,6.0,55,55.0,2017,2,3
57,2017-02-28,2017-02-28,1,1,36.5601,-119.7381,9.3,9.3,9.3,71,71.0,2017,2,28
58,2017-02-19,2017-02-28,10,4,36.6381,-120.1174,23.0,12.225000000000001,48.900000000000006,70,60.75,2017,2,19
59,2017-02-28,2017-02-28,1,2,36.6446,-119.8418,30.0,19.2,38.4,83,68.0,2017,2,28
60,2017-02-03,2017-02-03,1,2,36.6747,-120.5266,11.0,9.1,18.2,65,59.0,2017,2,3
61,2017-02-14,2017-02-28,15,13,36.7037,-120.0935,60.7,27.992307692307694,363.90000000000003,91,77.92307692307692,2017,2,28
62,2017-02-28,2017-02-28,1,4,36.6914,-119.3448,25.3,18.150000000000002,72.60000000000001,81,71.25,2017,2,28
63,2017-02-01,2017-02-01,1,1,36.6918,-114.6947,7.1,7.1,7.1,55,55.0,2017,2,1
64,2017-02-12,2017-02-14,3,4,36.713,-119.6459,23.9,16.499999999999996,65.99999999999999,77,65.0,2017,2,14
65,2017-02-21,2017-02-21,1,1,36.9557,-120.1201,35.1,35.1,35.1,61,61.0,2017,2,21
66,2017-02-28,2017-02-28,1,2,37.0465,-120.3683,19.2,17.35,34.7,70,63.0,2017,2,28
67,2017-02-26,2017-02-26,1,1,37.3221,-120.8011,3.5,3.5,3.5,52,52.0,2017,2,26
68,2017-02-25,2017-02-28,4,3,37.4232,-120.6192,16.9,10.266666666666666,30.799999999999997,71,60.666666666666664,2017,2,28
69,2017-02-26,2017-02-26,1,1,37.5706,-120.8711,5.6,5.6,5.6,63,63.0,2017,2,26
70,2017-02-10,2017-02-10,1,1,38.8266,-122.678,9.1,9.1,9.1,57,57.0,2017,2,10
71,2017-02-16,2017-02-16,1,1,38.9884,-122.0902,7.5,7.5,7.5,54,54.0,2017,2,16
72,2017-03-07,2017-03-16,10,6,32.5976,-114.6087,58.5,23.866666666666664,143.2,96,65.33333333333333,2017,3,16
73,2017-03-15,2017-03-15,1,1,32.7711,-116.5473,77.6,77.6,77.6,99,99.0,2017,3,15
74,2017-03-09,2017-03-29,21,3,32.84,-116.4283,47.5,33.199999999999996,99.6,89,74.66666666666667,2017,3,16
75,2017-03-21,2017-03-21,1,3,32.8508,-115.4727,35.8,29.099999999999998,87.3,82,77.33333333333333,2017,3,21
76,2017-03-25,2017-03-26,2,3,33.1287,-115.368,40.9,28.8,86.4,82,75.33333333333333,2017,3,26
77,2017-03-08,2017-03-29,22,6,33.3537,-116.8447,146.4,47.6,285.6,90,78.66666666666667,2017,3,29
78,2017-03-24,2017-03-24,1,1,33.5845,-116.0625,6.4,6.4,6.4,54,54.0,2017,3,24
79,2017-03-24,2017-03-24,1,1,34.0938,-117.5333,8.8,8.8,8.8,67,67.0,2017,3,24
80,2017-03-24,2017-03-24,1,1,34.2931,-119.0314,17.5,17.5,17.5,64,64.0,2017,3,24
81,2017-03-23,2017-03-23,1,1,34.3863,-118.8285,58.2,58.2,58.2,78,78.0,2017,3,23
82,2017-03-20,2017-03-20,1,1,34.3998,-118.964,6.8,6.8,6.8,62,62.0,2017,3,20
83,2017-03-16,2017-03-16,1,3,34.8818,-116.9798,34.2,22.066666666666666,66.2,72,64.0,2017,3,16
84,2017-03-28,2017-03-28,1,1,35.0558,-119.1127,21.0,21.0,21.0,79,79.0,2017,3,28
85,2017-03-07,2017-03-21,15,2,35.0603,-118.9238,12.4,10.1,20.2,76,71.5,2017,3,21
86,2017-03-31,2017-03-31,1,1,35.1413,-118.8315,17.3,17.3,17.3,66,66.0,2017,3,31
87,2017-03-17,2017-03-30,14,2,35.4,-120.4525,30.0,17.35,34.7,52,52.0,2017,3,17
88,2017-03-07,2017-03-20,14,2,35.4866,-119.1822,11.7,8.5,17.0,70,60.0,2017,3,20
89,2017-03-09,2017-03-28,20,11,35.5495,-119.4647,57.7,28.290909090909096,311.20000000000005,92,71.9090909090909,2017,3,9
90,2017-03-28,2017-03-28,1,2,35.5627,-119.231,43.7,27.0,54.0,89,74.5,2017,3,28
91,2017-03-30,2017-03-30,1,2,35.6384,-120.5995,20.7,15.5,31.0,81,76.0,2017,3,30
92,2017-03-14,2017-03-24,11,2,35.6628,-119.1966,19.6,17.15,34.3,69,63.0,2017,3,24
93,2017-03-27,2017-03-27,1,1,35.6693,-119.6783,5.8,5.8,5.8,58,58.0,2017,3,27
94,2017-03-02,2017-03-23,22,3,35.7176,-119.2182,36.9,27.899999999999995,83.69999999999999,84,78.0,2017,3,23
95,2017-03-02,2017-03-02,1,1,35.7225,-118.5051,23.6,23.6,23.6,69,69.0,2017,3,2
96,2017-03-01,2017-03-01,1,3,35.9157,-119.8743,21.4,18.033333333333335,54.1,70,63.666666666666664,2017,3,1
97,2017-03-01,2017-03-29,29,5,35.9501,-118.996,57.5,34.74,173.70000000000002,82,73.6,2017,3,1
98,2017-03-20,2017-03-20,1,1,35.9528,-119.1495,11.4,11.4,11.4,78,78.0,2017,3,20
99,2017-03-02,2017-03-02,1,1,36.0757,-120.9997,6.0,6.0,6.0,67,67.0,2017,3,2
100,2017-03-08,2017-03-22,15,5,36.1724,-119.0391,35.4,22.559999999999995,112.79999999999998,81,74.0,2017,3,9
101,2017-03-15,2017-03-15,1,1,36.1839,-119.2594,10.4,10.4,10.4,57,57.0,2017,3,15
102,2017-03-20,2017-03-20,1,1,36.1962,-118.9856,34.6,34.6,34.6,89,89.0,2017,3,20
103,2017-03-02,2017-03-02,1,2,36.2126,-120.5078,19.0,18.55,37.1,56,54.5,2017,3,2
104,2017-03-20,2017-03-20,1,2,36.273,-119.1892,75.1,41.699999999999996,83.39999999999999,99,81.5,2017,3,20
105,2017-03-20,2017-03-20,1,1,36.2965,-119.4107,34.6,34.6,34.6,84,84.0,2017,3,20
106,2017-03-02,2017-03-28,27,4,36.4003,-119.8232,26.9,14.5,58.0,84,69.0,2017,3,2
107,2017-03-20,2017-03-20,1,1,36.3478,-120.1578,14.7,14.7,14.7,71,71.0,2017,3,20
108,2017-03-20,2017-03-20,1,1,36.3549,-119.119,7.0,7.0,7.0,71,71.0,2017,3,20
109,2017-03-23,2017-03-23,1,1,36.3614,-120.3035,18.0,18.0,18.0,80,80.0,2017,3,23
110,2017-03-09,2017-03-09,1,1,36.3898,-119.8544,10.9,10.9,10.9,67,67.0,2017,3,9
111,2017-03-01,2017-03-01,1,1,36.4366,-121.3125,11.0,11.0,11.0,57,57.0,2017,3,1
112,2017-03-07,2017-03-07,1,2,36.495,-119.8572,6.2,6.1,12.2,64,59.0,2017,3,7
113,2017-03-02,2017-03-02,1,1,36.5174,-114.7387,5.2,5.2,5.2,62,62.0,2017,3,2
