latitude,longitude,acq_date,satellite,instrument,frp,type,bright_t31,confidence,year,month,datetime,day,confidence_level,frp_category
32.549,-116.921,2017-08-04,Terra,MODIS,18.2,0,308.6,76,2017,8,2017-08-04,4,high,low
32.5493,-114.6213,2017-04-12,Aqua,MODIS,32.8,0,318.6,78,2017,4,2017-04-12,12,high,medium-low
32.5495,-114.6237,2017-04-26,Aqua,MODIS,17.8,0,304.2,62,2017,4,2017-04-26,26,medium,low
32.553000000000004,-114.6275,2017-04-12,Aqua,MODIS,89.4,0,318.7,95,2017,4,2017-04-12,12,high,medium-high
32.5558,-114.6126,2017-04-12,Aqua,MODIS,38.0,0,316.8,81,2017,4,2017-04-12,12,high,medium-low
32.556999999999995,-114.616,2017-05-02,Terra,MODIS,66.3,0,323.4,99,2017,5,2017-05-02,2,high,medium-high
32.5579,-114.6184,2017-04-12,Terra,MODIS,159.6,0,312.4,96,2017,4,2017-04-12,12,high,high
32.5587,-114.6267,2017-05-02,Terra,MODIS,39.0,0,319.9,89,2017,5,2017-05-02,2,high,medium-low
32.5773,-114.6167,2017-03-13,Aqua,MODIS,27.7,0,309.5,55,2017,3,2017-03-13,13,medium,medium-low
32.5787,-114.6019,2017-03-11,Aqua,MODIS,14.1,0,310.0,51,2017,3,2017-03-11,11,medium,low
32.5797,-114.6953,2017-06-30,Terra,MODIS,15.1,0,323.1,52,2017,6,2017-06-30,30,medium,low
32.5814,-114.587,2017-03-11,Aqua,MODIS,16.8,0,309.9,52,2017,3,2017-03-11,11,medium,low
32.5852,-114.6033,2017-03-07,Aqua,MODIS,9.6,0,302.5,63,2017,3,2017-03-07,7,medium,low
32.5867,-114.5923,2017-03-07,Aqua,MODIS,16.5,0,304.2,75,2017,3,2017-03-07,7,high,low
32.5882,-114.6171,2017-01-17,Terra,MODIS,28.8,0,292.6,84,2017,1,2017-01-17,17,high,medium-low
32.5924,-114.6176,2017-01-17,Aqua,MODIS,111.9,0,291.1,86,2017,1,2017-01-17,17,high,high
32.5976,-114.6087,2017-03-16,Aqua,MODIS,58.5,0,312.4,96,2017,3,2017-03-16,16,high,medium-high
32.6064,-114.6221,2017-01-17,Aqua,MODIS,34.6,0,290.7,70,2017,1,2017-01-17,17,medium,medium-low
32.613,-114.5929,2017-01-17,Aqua,MODIS,41.4,0,290.3,73,2017,1,2017-01-17,17,high,medium-low
32.6144,-114.5987,2017-01-17,Terra,MODIS,20.9,0,290.4,80,2017,1,2017-01-17,17,high,medium-low
32.6149,-114.5792,2017-04-12,Terra,MODIS,45.5,0,308.0,68,2017,4,2017-04-12,12,medium,medium-high
32.616,-114.5734,2017-04-12,Terra,MODIS,82.2,0,308.7,86,2017,4,2017-04-12,12,high,medium-high
32.6238,-114.5965,2017-01-17,Terra,MODIS,18.3,0,290.2,78,2017,1,2017-01-17,17,high,low
32.634,-114.5326,2017-08-04,Terra,MODIS,106.8,0,313.6,100,2017,8,2017-08-04,4,high,high
32.6366,-114.5468,2017-08-04,Terra,MODIS,28.4,0,310.7,53,2017,8,2017-08-04,4,medium,medium-low
32.6415,-116.3616,2017-10-21,Aqua,MODIS,193.6,0,302.1,99,2017,10,2017-10-21,21,high,high
32.6454,-116.342,2017-10-21,Aqua,MODIS,25.8,0,298.8,56,2017,10,2017-10-21,21,medium,medium-low
32.6472,-116.8258,2017-05-20,Aqua,MODIS,62.0,0,316.6,66,2017,5,2017-05-20,20,medium,medium-high
32.6492,-115.6065,2017-07-27,Terra,MODIS,7.6,0,299.4,82,2017,7,2017-07-27,27,high,low
32.65,-116.8026,2017-05-20,Terra,MODIS,21.8,0,313.8,68,2017,5,2017-05-20,20,medium,medium-low
32.6515,-114.5589,2017-01-17,Terra,MODIS,9.7,0,290.6,69,2017,1,2017-01-17,17,medium,low
32.6516,-116.8168,2017-05-20,Terra,MODIS,18.0,0,313.9,62,2017,5,2017-05-20,20,medium,low
32.6569,-116.8211,2017-05-20,Aqua,MODIS,79.8,0,316.0,75,2017,5,2017-05-20,20,high,medium-high
32.6576,-116.8095,2017-05-20,Terra,MODIS,39.7,0,314.9,83,2017,5,2017-05-20,20,high,medium-low
32.6612,-116.8264,2017-05-20,Aqua,MODIS,82.2,0,314.1,76,2017,5,2017-05-20,20,high,medium-high
32.6799,-115.6208,2017-08-02,Aqua,MODIS,71.4,0,305.7,88,2017,8,2017-08-02,2,high,medium-high
32.6832,-115.6036,2017-08-02,Aqua,MODIS,70.0,0,306.2,88,2017,8,2017-08-02,2,high,medium-high
32.691,-115.6238,2017-08-02,Aqua,MODIS,26.8,0,303.4,68,2017,8,2017-08-02,2,medium,medium-low
32.6912,-115.016,2017-01-04,Aqua,MODIS,24.3,0,294.4,84,2017,1,2017-01-04,4,high,medium-low
32.693000000000005,-115.0047,2017-01-04,Aqua,MODIS,54.5,0,294.0,94,2017,1,2017-01-04,4,high,medium-high
32.6978,-114.1362,2017-08-16,Aqua,MODIS,36.3,0,321.5,92,2017,8,2017-08-16,16,high,medium-low
32.706,-115.4505,2017-05-18,Aqua,MODIS,151.8,0,309.1,77,2017,5,2017-05-18,18,high,high
32.7106,-115.456,2017-05-18,Aqua,MODIS,116.6,0,308.8,70,2017,5,2017-05-18,18,medium,high
32.7289,-114.6203,2017-05-12,Aqua,MODIS,22.9,0,292.1,99,2017,5,2017-05-12,12,high,medium-low
32.7291,-114.3226,2017-06-30,Terra,MODIS,36.7,0,321.8,86,2017,6,2017-06-30,30,high,medium-low
32.7327,-114.5522,2017-04-03,Aqua,MODIS,13.8,0,315.0,65,2017,4,2017-04-03,3,medium,low
32.735,-114.5628,2017-04-03,Terra,MODIS,35.7,0,306.4,66,2017,4,2017-04-03,3,medium,medium-low
32.7372,-115.3755,2017-07-26,Terra,MODIS,20.1,0,312.0,60,2017,7,2017-07-26,26,medium,low
32.7445,-114.0472,2017-08-31,Terra,MODIS,20.5,0,320.3,75,2017,8,2017-08-31,31,high,medium-low
32.7478,-115.3727,2017-07-26,Terra,MODIS,25.9,0,314.0,70,2017,7,2017-07-26,26,medium,medium-low
32.7522,-115.3916,2017-09-06,Aqua,MODIS,13.0,0,319.2,69,2017,9,2017-09-06,6,medium,low
32.7656,-114.5709,2017-06-09,Aqua,MODIS,38.7,0,326.4,79,2017,6,2017-06-09,9,high,medium-low
32.7711,-116.5473,2017-03-15,Terra,MODIS,77.6,0,291.8,99,2017,3,2017-03-15,15,high,medium-high
32.7741,-115.6778,2017-02-13,Aqua,MODIS,51.8,0,300.7,71,2017,2,2017-02-13,13,high,medium-high
32.7746,-115.67,2017-02-13,Aqua,MODIS,78.7,0,300.9,74,2017,2,2017-02-13,13,high,medium-high
32.7762,-115.6445,2017-02-13,Aqua,MODIS,39.3,0,300.0,67,2017,2,2017-02-13,13,medium,medium-low
32.7763,-114.5724,2017-06-09,Aqua,MODIS,214.4,0,326.7,100,2017,6,2017-06-09,9,high,high
32.7824,-116.6429,2017-02-02,Terra,MODIS,5.6,0,286.6,58,2017,2,2017-02-02,2,medium,low
32.7834,-116.6445,2017-02-01,Aqua,MODIS,25.3,0,297.5,80,2017,2,2017-02-01,1,high,medium-low
32.792,-114.5872,2017-06-15,Aqua,MODIS,115.4,0,325.9,100,2017,6,2017-06-15,15,high,high
32.7987,-114.5457,2017-07-01,Aqua,MODIS,28.3,0,323.0,64,2017,7,2017-07-01,1,medium,medium-low
32.8,-114.5301,2017-06-15,Terra,MODIS,105.4,0,319.1,90,2017,6,2017-06-15,15,high,high
32.8008,-116.6242,2017-02-16,Terra,MODIS,18.0,0,281.9,61,2017,2,2017-02-16,16,medium,low
32.8137,-115.4588,2017-05-21,Terra,MODIS,35.0,0,314.8,55,2017,5,2017-05-21,21,medium,medium-low
32.8137,-115.4336,2017-07-26,Terra,MODIS,26.5,0,292.8,55,2017,7,2017-07-26,26,medium,medium-low
32.816,-115.4292,2017-07-26,Terra,MODIS,36.6,0,293.1,70,2017,7,2017-07-26,26,medium,medium-low
32.8161,-115.7087,2017-12-21,Terra,MODIS,6.6,0,289.2,59,2017,12,2017-12-21,21,medium,low
32.8186,-115.7439,2017-11-04,Terra,MODIS,82.1,0,301.5,82,2017,11,2017-11-04,4,high,medium-high
32.8214,-115.4008,2017-07-26,Terra,MODIS,69.4,0,293.3,93,2017,7,2017-07-26,26,high,medium-high
32.8217,-115.7376,2017-11-04,Terra,MODIS,47.6,0,300.8,67,2017,11,2017-11-04,4,medium,medium-high
32.8234,-115.3963,2017-07-26,Terra,MODIS,44.9,0,293.2,78,2017,7,2017-07-26,26,high,medium-high
32.8262,-116.5167,2017-02-09,Terra,MODIS,9.9,0,292.4,57,2017,2,2017-02-09,9,medium,low
32.828,-116.528,2017-02-09,Terra,MODIS,12.3,0,292.7,64,2017,2,2017-02-09,9,medium,low
32.84,-116.4283,2017-03-16,Aqua,MODIS,47.5,0,299.2,89,2017,3,2017-03-16,16,high,medium-high
32.8401,-118.426,2017-08-04,Terra,MODIS,32.6,0,309.8,92,2017,8,2017-08-04,4,high,medium-low
32.8404,-116.8562,2017-07-11,Aqua,MODIS,54.9,0,310.2,94,2017,7,2017-07-11,11,high,medium-high
32.8417,-118.4366,2017-08-04,Terra,MODIS,22.8,0,309.6,74,2017,8,2017-08-04,4,high,medium-low
32.8418,-116.8449,2017-07-11,Aqua,MODIS,99.8,0,308.7,100,2017,7,2017-07-11,11,high,medium-high
32.8486,-116.4202,2017-03-29,Terra,MODIS,34.0,0,296.0,82,2017,3,2017-03-29,29,high,medium-low
32.8498,-116.8574,2017-07-11,Aqua,MODIS,209.0,0,317.2,100,2017,7,2017-07-11,11,high,high
32.8508,-115.4727,2017-03-21,Aqua,MODIS,35.8,0,305.1,82,2017,3,2017-03-21,21,high,medium-low
32.8512,-116.846,2017-07-11,Aqua,MODIS,285.8,0,313.5,100,2017,7,2017-07-11,11,high,high
32.8513,-115.5014,2017-08-10,Terra,MODIS,35.5,0,304.7,76,2017,8,2017-08-10,10,high,medium-low
32.8583,-115.4794,2017-03-21,Aqua,MODIS,25.0,0,308.3,75,2017,3,2017-03-21,21,high,medium-low
32.8609,-115.4743,2017-03-21,Aqua,MODIS,26.5,0,304.7,75,2017,3,2017-03-21,21,high,medium-low
32.8628,-114.1657,2017-12-07,Terra,MODIS,15.7,0,295.7,76,2017,12,2017-12-07,7,high,low
