latitude,longitude,acq_date,satellite,instrument,frp,type,bright_t31,confidence,year,month,datetime
32.5589,-116.9451,2015-07-30,Terra,MODIS,9.1,0,304.1,59,2015,7,2015-07-30
32.5865,-114.7392,2015-06-03,Terra,MODIS,23.7,0,315.9,52,2015,6,2015-06-03
32.5896,-114.6166,2015-09-08,Aqua,MODIS,29.6,0,304.4,77,2015,9,2015-09-08
32.5913,-114.5882,2015-01-03,Terra,MODIS,11.9,0,287.8,66,2015,1,2015-01-03
32.6101,-114.6243,2015-05-11,Aqua,MODIS,27.2,0,311.9,51,2015,5,2015-05-11
32.6169,-114.6128,2015-04-23,Aqua,MODIS,27.3,0,305.2,74,2015,4,2015-04-23
32.629,-114.5249,2015-02-06,Terra,MODIS,10.5,0,302.8,71,2015,2,2015-02-06
32.6294,-114.5308,2015-02-08,Terra,MODIS,177.4,0,304.0,100,2015,2,2015-02-08
32.6307,-114.5357,2015-02-06,Terra,MODIS,16.6,0,300.6,78,2015,2,2015-02-06
32.6309,-114.5421,2015-02-08,Terra,MODIS,16.8,0,298.4,76,2015,2,2015-02-08
32.6439,-115.6571,2015-01-13,Aqua,MODIS,42.9,0,299.4,92,2015,1,2015-01-13
32.6454,-115.6465,2015-01-13,Aqua,MODIS,32.2,0,298.6,89,2015,1,2015-01-13
32.6529,-115.6588,2015-01-13,Aqua,MODIS,4.5,0,297.3,58,2015,1,2015-01-13
32.6668,-115.6515,2015-11-28,Terra,MODIS,21.9,0,294.3,52,2015,11,2015-11-28
32.673,-114.0946,2015-02-07,Aqua,MODIS,17.5,0,307.2,78,2015,2,2015-02-07
32.6741,-115.6537,2015-11-28,Aqua,MODIS,34.7,0,295.8,59,2015,11,2015-11-28
32.676,-116.5285,2015-07-24,Aqua,MODIS,18.2,0,315.9,63,2015,7,2015-07-24
32.6776,-116.518,2015-07-24,Aqua,MODIS,17.1,0,317.7,60,2015,7,2015-07-24
32.6783,-115.623,2015-11-28,Aqua,MODIS,393.6,0,297.4,97,2015,11,2015-11-28
32.6783,-114.6833,2015-08-05,Terra,MODIS,288.4,0,315.5,100,2015,8,2015-08-05
32.6806,-115.657,2015-02-03,Aqua,MODIS,40.1,0,305.3,82,2015,2,2015-02-03
32.6819,-115.6199,2015-11-28,Aqua,MODIS,430.7,0,297.6,98,2015,11,2015-11-28
32.6862,-115.5895,2015-11-28,Aqua,MODIS,34.5,0,294.2,58,2015,11,2015-11-28
32.6891,-114.6817,2015-08-05,Terra,MODIS,16.0,0,313.6,59,2015,8,2015-08-05
32.69,-114.3077,2015-01-23,Terra,MODIS,9.4,0,290.0,63,2015,1,2015-01-23
32.6913,-115.0114,2015-12-01,Aqua,MODIS,40.5,0,301.9,90,2015,12,2015-12-01
32.6929,-115.0092,2015-11-29,Aqua,MODIS,29.8,0,297.6,88,2015,11,2015-11-29
32.6931,-115.0001,2015-12-01,Aqua,MODIS,58.2,0,299.9,94,2015,12,2015-12-01
32.6991,-114.306,2015-01-23,Terra,MODIS,10.5,0,290.4,61,2015,1,2015-01-23
32.7121,-114.7611,2015-02-13,Aqua,MODIS,19.7,0,283.5,69,2015,2,2015-02-13
32.7121,-114.5465,2015-08-04,Aqua,MODIS,14.5,0,320.2,59,2015,8,2015-08-04
32.7131,-114.5294,2015-07-02,Terra,MODIS,15.2,0,312.6,57,2015,7,2015-07-02
32.7168,-114.5618,2015-03-24,Aqua,MODIS,36.6,0,305.3,56,2015,3,2015-03-24
32.7176,-114.5501,2015-06-22,Aqua,MODIS,45.3,0,319.8,94,2015,6,2015-06-22
32.7189,-114.5576,2015-03-24,Aqua,MODIS,62.9,0,305.9,77,2015,3,2015-03-24
32.7198,-115.6044,2015-02-12,Aqua,MODIS,166.7,0,308.8,100,2015,2,2015-02-12
32.7246,-114.5623,2015-04-10,Terra,MODIS,13.0,0,283.4,80,2015,4,2015-04-10
32.7261,-114.5518,2015-04-10,Terra,MODIS,9.2,0,283.5,62,2015,4,2015-04-10
32.7269,-114.5498,2015-03-27,Aqua,MODIS,22.5,0,319.6,78,2015,3,2015-03-27
32.7272,-114.528,2015-07-21,Aqua,MODIS,20.8,0,315.0,51,2015,7,2015-07-21
32.7274,-114.5575,2015-04-09,Aqua,MODIS,78.2,0,309.6,81,2015,4,2015-04-09
32.7285,-114.5506,2015-04-09,Aqua,MODIS,51.0,0,309.5,72,2015,4,2015-04-09
32.7302,-114.4635,2015-04-09,Terra,MODIS,25.0,0,310.5,66,2015,4,2015-04-09
32.7308,-114.5099,2015-07-21,Aqua,MODIS,24.1,0,314.5,54,2015,7,2015-07-21
32.7331,-114.5786,2015-08-05,Terra,MODIS,30.9,0,314.1,75,2015,8,2015-08-05
32.7342,-114.5445,2015-03-30,Terra,MODIS,35.8,0,309.9,75,2015,3,2015-03-30
32.7376,-114.502,2015-07-02,Terra,MODIS,74.7,0,314.3,100,2015,7,2015-07-02
32.7441,-114.3198,2015-07-14,Aqua,MODIS,49.4,0,318.5,77,2015,7,2015-07-14
32.7458,-115.725,2015-03-30,Aqua,MODIS,101.4,0,317.5,90,2015,3,2015-03-30
32.7464,-115.6524,2015-11-21,Aqua,MODIS,87.5,0,301.1,72,2015,11,2015-11-21
32.7478,-115.7048,2015-03-30,Aqua,MODIS,76.4,0,314.6,81,2015,3,2015-03-30
32.7479,-114.4935,2015-07-20,Terra,MODIS,59.7,0,308.9,90,2015,7,2015-07-20
32.7495,-115.7307,2015-03-30,Aqua,MODIS,46.8,0,315.2,55,2015,3,2015-03-30
32.7503,-115.6615,2015-11-21,Aqua,MODIS,112.0,0,301.4,76,2015,11,2015-11-21
32.7513,-115.7105,2015-03-30,Aqua,MODIS,106.9,0,313.5,79,2015,3,2015-03-30
32.7517,-115.686,2015-12-29,Aqua,MODIS,11.3,0,291.3,70,2015,12,2015-12-29
