"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72481523257","2015-01-01","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  38.6","24","  29.2","24","1020.2","23","014.4","24","  6.1","24","  3.5","24","  8.9","999.9","  51.1"," ","  28.0"," "," 0.00","G","999.9","000000"
"72481523257","2015-01-02","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  38.8","24","  27.7","24","1021.8","24","015.9","24","  8.8","24","  1.5","24","  4.1","999.9","  53.1"," ","  28.0"," "," 0.00","G","999.9","000000"
"72481523257","2015-01-03","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  39.8","24","  29.1","24","1023.4","24","017.5","24","  8.0","24","  2.9","24"," 27.0","999.9","  55.0"," ","  27.0"," "," 0.00","G","999.9","000000"
"72481523257","2015-01-04","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  41.2","24","  32.1","24","1028.1","24","022.2","24","  6.3","24","  2.1","23","  6.0","999.9","  57.0"," ","  27.0"," "," 0.00","G","999.9","000000"
"72481523257","2015-01-05","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  43.9","24","  34.6","24","1029.1","24","023.3","24","  5.3","24","  1.4","24","  4.1","999.9","  59.0"," ","  30.0"," "," 0.00","G","999.9","000000"
"72481523257","2015-01-06","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  46.4","24","  37.3","24","1025.2","24","019.4","24","  4.6","24","  1.8","24","  5.1","999.9","  63.0"," ","  32.0"," "," 0.00","G","999.9","000000"
"72481523257","2015-01-07","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  47.3","24","  40.1","24","1022.6","15","017.2","24","  2.2","24","  1.4","24","  5.1","999.9","  66.0"," ","  34.0"," "," 0.00","G","999.9","100000"
"72481523257","2015-01-08","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  49.0","24","  42.1","24","1018.7","16","013.2","24","  2.4","24","  1.3","24","  4.1","999.9","  66.0"," ","  34.0"," "," 0.01","G","999.9","100000"
"72481523257","2015-01-09","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  50.5","24","  45.3","24","1016.1","20","010.4","24","  1.5","24","  2.5","24","  7.0","999.9","  66.0"," ","  36.0"," "," 0.00","G","999.9","000000"
"72481523257","2015-01-10","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  53.0","24","  46.2","24","1015.1","18","009.6","24","  1.8","24","  1.5","24","  5.1","999.9","  66.0"," ","  42.1"," "," 0.00","G","999.9","100000"
"72481523257","2015-01-11","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  51.3","24","  45.7","24","1016.8","18","011.1","24","  1.8","24","  1.7","24","  6.0","999.9","  66.0"," ","  39.9"," "," 0.00","G","999.9","100000"
"72481523257","2015-01-12","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  48.9","24","  44.2","24","1021.7","15","016.0","24","  1.8","24","  1.2","24","  7.0","999.9","  64.0"," ","  39.9"," "," 0.00","G","999.9","100000"
"72481523257","2015-01-13","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  49.1","24","  45.8","24","1022.4","19","016.5","24","  0.8","24","  2.3","24","  7.0","999.9","  63.0"," ","  39.9"," "," 0.00","G","999.9","110000"
"72481523257","2015-01-14","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  46.3","24","  42.5","24","1022.9","12","016.8","24","  1.5","24","  2.0","24","  6.0","999.9","  59.0"," ","  37.0"," "," 0.00","G","999.9","100000"
"72481523257","2015-01-15","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  45.7","24","  43.7","24","1026.0","22","020.1","24","  0.3","24","  3.4","24","  8.9","999.9","  59.0"," ","  37.0"," "," 0.00","G","999.9","100000"
"72481523257","2015-01-16","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  45.1","24","  42.9","24","1025.6","15","019.9","24","  1.0","24","  3.1","24","  8.0","999.9","  48.9"," ","  42.1"," "," 0.00","G","999.9","100000"
"72481523257","2015-01-17","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  47.3","24","  44.0","24","1025.0","12","019.7","24","  2.3","24","  2.4","24","  6.0","999.9","  52.0"," ","  42.1"," "," 0.00","G","999.9","100000"
"72481523257","2015-01-18","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  48.0","24","  44.9","24","1025.9","19","020.1","24","  1.9","24","  2.2","24","  7.0","999.9","  52.0"," ","  46.0"," "," 0.00","G","999.9","100000"
"72481523257","2015-01-19","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  48.0","24","  45.0","24","1025.5","13","020.1","24","  2.0","24","  2.2","24","  6.0","999.9","  52.0"," ","  46.0"," "," 0.00","G","999.9","100000"
"72481523257","2015-01-20","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  49.0","24","  45.9","24","1021.6","11","015.9","24","  2.6","24","  3.7","24","  7.0","999.9","  52.0"," ","  46.0"," "," 0.00","G","999.9","000000"
"72481523257","2015-01-21","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  49.1","24","  44.4","24","1020.3","22","014.4","24","  7.0","24","  3.2","24","  5.1","999.9","  52.0"," ","  46.0"," "," 0.00","G","999.9","000000"
"72481523257","2015-01-22","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  48.8","24","  42.0","24","1024.5","21","018.8","24","  5.6","24","  4.4","24","  8.0","999.9","  53.6","*","  46.9","*"," 0.00","G","999.9","000000"
"72481523257","2015-01-23","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  42.6","24","  39.7","24","1027.8","21","022.0","24","  1.5","24","  2.8","24","  5.1","999.9","  53.1"," ","  35.1"," "," 0.00","G","999.9","100000"
"72481523257","2015-01-24","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  45.2","24","  42.6","24","1025.1","10","019.5","24","  1.4","24","  2.3","24","  7.0","999.9","  48.0"," ","  35.1"," "," 0.00","G","999.9","100000"
"72481523257","2015-01-25","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  43.8","24","  41.4","24","1021.7","20","016.1","24","  1.5","24","  3.0","24","  8.0","999.9","  46.9"," ","  41.0"," "," 0.00","G","999.9","100000"
"72481523257","2015-01-26","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  40.2","24","  37.5","24","1017.5","10","012.5","24","  1.9","24","  2.4","24","  6.0","999.9","  54.0"," ","  33.1"," "," 0.00","G","999.9","100000"
"72481523257","2015-01-27","37.28597","-120.51788","46.5","MERCED MUNICIPAL AIRPORT, CA US","  54.8","24","  48.5","24","1020.1","21","013.9","24","  6.4","24","  5.8","24"," 12.0","999.9","  66.0"," ","  33.1"," "," 0.01","G","999.9","010000"
