fire_id,fire_date,fire_latitude,fire_longitude,fire_frp,confidence,station_id,station_name,station_distance_km,fire_month,fire_year,avg_temp_30d,max_temp_30d,avg_max_temp_30d,total_precip_30d,days_without_rain,avg_wind_speed,max_wind_speed,avg_dewpoint,temp_precip_ratio
0,2019-08-02,32.5532,-117.0007,14.9,92,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1025.4441121952393,8,2019,82.88333333333334,107.1,98.64666666666666,0.0,30,5.593333333333332,17.1,53.2,828.8333333333334
1,2019-08-02,32.5548,-116.99,26.3,100,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1025.9740813697645,8,2019,82.88333333333334,107.1,98.64666666666666,0.0,30,5.593333333333332,17.1,53.2,828.8333333333334
2,2019-08-01,32.5555,-117.0066,15.1,52,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1024.8617350464406,8,2019,82.81999999999998,107.1,98.41,0.0,30,5.633333333333332,17.1,52.96,828.1999999999997
3,2019-07-12,32.5606,-116.7636,21.1,66,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1039.971589046441,7,2019,80.26333333333332,107.1,96.13666666666667,0.0,30,6.636666666666667,24.1,49.29666666666665,802.6333333333332
4,2019-06-03,32.5635,-114.5969,75.3,56,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1196.6723261145728,6,2019,66.92333333333332,97.0,82.03666666666666,3.06,20,7.37,29.9,48.38,21.178270042194086
5,2019-12-14,32.5794,-114.6637,36.3,75,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1190.1697549458129,12,2019,51.99999999999999,80.1,63.766666666666666,3.92,18,6.36,35.0,40.816666666666656,12.935323383084576
6,2019-02-08,32.6032,-114.5783,7.3,53,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1195.045883052406,2,2019,50.11666666666667,73.0,61.836666666666666,8.28,16,6.2233333333333345,34.0,40.77333333333333,5.980509148766906
7,2019-02-01,32.6064,-114.6197,27.8,86,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1191.5239314671687,2,2019,49.190000000000005,73.0,61.343333333333334,6.27,17,6.0233333333333325,34.0,39.9,7.722135007849295
8,2019-02-04,32.6085,-114.6412,10.2,67,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1189.6635981294987,2,2019,50.36333333333333,73.0,61.71333333333334,8.989999999999998,15,6.459999999999999,34.0,41.813333333333325,5.5405207187385415
9,2019-12-19,32.618,-116.1331,5.5,54,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1077.5236741174465,12,2019,49.366666666666674,78.1,60.34666666666668,3.92,18,6.486666666666666,35.0,40.086666666666666,12.280265339966835
10,2019-11-23,32.6182,-116.1261,6.2,53,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1077.9966121002876,11,2019,59.839285714285715,88.0,78.91071428571429,0.0,28,5.664285714285714,25.1,30.85,598.3928571428571
11,2019-06-25,32.6495,-114.652,43.4,69,72591024216,"RED BLUFF MUNICIPAL AIRPORT, CA US",1185.6113079001298,6,2019,78.91333333333331,107.1,96.11999999999999,0.54,27,7.413333333333331,24.1,48.62333333333334,123.3020833333333
