event_id,fire_start_date,fire_end_date,fire_duration_days,fire_latitude,fire_longitude,fire_max_frp,fire_avg_frp,fire_total_frp,confidence,station_id,station_name,station_distance_km,avg_temp_30d,max_temp_30d,avg_max_temp_30d,total_precip_30d,days_without_rain,avg_wind_speed,max_wind_speed,avg_dewpoint,temp_precip_ratio
860,2016-11-29,2016-11-29,1,35.2598,-118.8823,11.5,9.5,19.0,74,72384023155,"BAKERSFIELD AIRPORT, CA US",27.265711842187525,59.66,89.1,73.88000000000001,0.42000000000000004,25,3.923333333333334,29.9,44.06666666666667,114.73076923076923
861,2016-11-17,2016-11-17,1,35.3625,-119.2621,14.4,14.4,28.8,69,72384023155,"BAKERSFIELD AIRPORT, CA US",24.30309124352786,65.40666666666668,89.1,79.13666666666667,0.22,26,4.066666666666666,22.0,47.56666666666667,204.39583333333337
862,2016-11-28,2016-11-28,1,35.3646,-118.8655,10.5,10.5,10.5,63,72384023155,"BAKERSFIELD AIRPORT, CA US",22.434908881054135,60.236666666666665,89.1,74.55333333333333,0.35,25,3.9233333333333333,29.9,44.62666666666667,133.85925925925926
863,2016-11-17,2016-11-29,13,35.5285,-119.3459,13.4,9.733333333333333,58.4,72,72384023155,"BAKERSFIELD AIRPORT, CA US",33.91739060138936,65.40666666666668,89.1,79.13666666666667,0.22,26,4.066666666666666,22.0,47.56666666666667,204.39583333333337
864,2016-11-17,2016-11-17,1,35.5487,-119.1478,22.1,18.3,36.6,74,72384023155,"BAKERSFIELD AIRPORT, CA US",16.3394281818305,65.40666666666668,89.1,79.13666666666667,0.22,26,4.066666666666666,22.0,47.56666666666667,204.39583333333337
865,2016-11-14,2016-11-14,1,35.58,-115.4555,10.9,10.9,10.9,64,72209653127,"LAS VEGAS HENDERSON AIRPORT, NV US",56.733068836474565,67.32333333333332,91.0,81.06666666666666,0.35000000000000003,21,7.346666666666666,32.1,38.95333333333335,149.60740740740735
866,2016-11-03,2016-11-22,20,35.6183,-119.4173,197.6,66.93103448275862,1941.0,100,72384023155,"BAKERSFIELD AIRPORT, CA US",45.08370282742063,67.80666666666667,91.9,81.36666666666666,0.27,25,4.686666666666667,22.0,45.926666666666655,183.26126126126127
868,2016-11-01,2016-11-20,20,35.6249,-119.1867,168.8,73.02857142857144,511.2000000000001,93,72384023155,"BAKERSFIELD AIRPORT, CA US",25.706259721538363,68.11999999999999,91.9,81.76,0.27,25,4.753333333333333,22.0,45.353333333333325,184.1081081081081
870,2016-11-01,2016-11-01,1,35.6545,-119.3071,15.1,15.1,15.1,64,72384023155,"BAKERSFIELD AIRPORT, CA US",37.13906852670416,68.11999999999999,91.9,81.76,0.27,25,4.753333333333333,22.0,45.353333333333325,184.1081081081081
872,2016-11-17,2016-11-17,1,35.8784,-119.2559,7.8,7.8,7.8,55,72389523149,"PORTERVILLE MUNICIPAL AIRPORT, CA US",27.238378093300494,62.26666666666666,86.0,79.61666666666666,0.61,26,3.536666666666667,22.0,50.203333333333326,87.69953051643192
873,2016-11-22,2016-11-30,9,35.8869,-119.8319,132.6,49.89166666666667,1197.4,100,74702023110,"LEMOORE REEVES NAS, CA US",51.2583716062351,60.556666666666665,87.1,77.60666666666665,2.17,26,5.469999999999999,21.0,46.333333333333336,26.676945668135094
875,2016-11-21,2016-11-28,8,35.9313,-119.0062,9.3,7.95,15.9,64,72389523149,"PORTERVILLE MUNICIPAL AIRPORT, CA US",12.558780363617814,60.913333333333334,86.0,78.36,0.61,26,3.546666666666667,22.0,48.78333333333333,85.79342723004696
876,2016-11-11,2016-11-20,10,35.9585,-118.5899,701.3,85.64,3853.8,100,72389523149,"PORTERVILLE MUNICIPAL AIRPORT, CA US",53.04630000665079,63.37333333333333,84.9,79.74,0.61,26,3.773333333333333,22.0,50.70333333333334,89.25821596244131
878,2016-11-28,2016-11-29,2,36.0995,-120.137,137.9,58.371428571428574,408.6,86,74702023110,"LEMOORE REEVES NAS, CA US",33.23434702708742,56.84333333333335,86.0,72.74333333333333,1.7900000000000003,25,5.373333333333333,21.0,45.720000000000006,30.07583774250441
879,2016-11-19,2016-11-19,1,36.1141,-119.2602,7.1,7.1,7.1,68,72389523149,"PORTERVILLE MUNICIPAL AIRPORT, CA US",23.872125033134086,61.56666666666667,86.0,79.02666666666667,0.61,26,3.486666666666667,22.0,49.480000000000004,86.71361502347419
880,2016-11-03,2016-11-03,1,36.1336,-119.4177,5.4,5.4,5.4,59,72389693144,"VISALIA MUNICIPAL AIRPORT, CA US",20.415526921509993,64.09,91.0,80.34666666666666,0.8599999999999999,25,3.7,17.1,49.24,66.76041666666669
882,2016-11-03,2016-11-17,15,36.2464,-120.1829,17.0,10.7,21.4,65,74702023110,"LEMOORE REEVES NAS, CA US",27.593991614170182,64.59333333333333,91.9,81.51666666666667,0.99,27,6.506666666666666,21.0,43.46666666666667,59.25993883792049
883,2016-11-04,2016-11-04,1,36.2287,-119.7606,4.2,4.2,4.2,56,72389853119,"HANFORD MUNICIPAL AIRPORT, CA US",17.80185252691697,63.52333333333333,93.0,81.24333333333333,0.65,25,3.6266666666666665,14.0,48.400000000000006,84.69777777777777
884,2016-11-11,2016-11-25,15,36.2536,-118.6298,117.4,38.27931034482759,1110.1,100,72389523149,"PORTERVILLE MUNICIPAL AIRPORT, CA US",54.09208872642611,63.37333333333333,84.9,79.74,0.61,26,3.773333333333333,22.0,50.70333333333334,89.25821596244131
885,2016-11-20,2016-11-20,1,36.3238,-119.3866,17.8,14.75,29.5,80,72389693144,"VISALIA MUNICIPAL AIRPORT, CA US",1.684850202510837,60.763333333333335,84.0,77.16333333333334,0.86,25,2.716666666666667,18.1,50.419999999999995,63.29513888888889
886,2016-11-22,2016-11-22,1,36.3288,-119.2238,6.9,6.9,6.9,63,72389693144,"VISALIA MUNICIPAL AIRPORT, CA US",19.60449083717649,60.263333333333335,84.0,76.30333333333333,0.8699999999999999,24,2.9099999999999997,18.1,50.33666666666667,62.127147766323034
888,2016-11-17,2016-11-18,2,36.4124,-119.8121,53.9,30.33333333333333,182.0,87,74702023110,"LEMOORE REEVES NAS, CA US",17.644627489491228,62.26333333333334,87.1,79.34666666666666,0.99,27,5.45,21.0,46.779999999999994,57.12232415902141
889,2016-11-17,2016-11-22,6,36.4253,-119.6718,36.9,18.577777777777776,167.2,85,72389853119,"HANFORD MUNICIPAL AIRPORT, CA US",13.746148799358881,61.00000000000001,84.9,78.42,0.65,25,2.7299999999999995,17.1,51.52333333333333,81.33333333333334
890,2016-11-01,2016-11-29,29,36.4933,-119.6085,34.4,20.375,163.0,81,72389853119,"HANFORD MUNICIPAL AIRPORT, CA US",20.25663512427694,64.12333333333333,93.0,81.74000000000001,0.64,26,4.126666666666667,14.0,47.28,86.65315315315316
891,2016-11-11,2016-11-13,3,36.4594,-118.6613,36.4,21.05,126.3,79,72389523149,"PORTERVILLE MUNICIPAL AIRPORT, CA US",65.27583763961701,63.37333333333333,84.9,79.74,0.61,26,3.773333333333333,22.0,50.70333333333334,89.25821596244131
892,2016-11-17,2016-11-21,5,36.5048,-119.8821,13.5,10.48,52.4,68,74702023110,"LEMOORE REEVES NAS, CA US",20.47111188623964,62.26333333333334,87.1,79.34666666666666,0.99,27,5.45,21.0,46.779999999999994,57.12232415902141
893,2016-11-01,2016-11-26,26,36.539,-119.5055,81.0,26.744444444444447,240.7,93,72389693144,"VISALIA MUNICIPAL AIRPORT, CA US",27.316123241171628,64.37666666666667,91.0,80.74000000000001,0.7899999999999999,26,3.9200000000000004,17.1,48.733333333333334,72.33333333333334
