Feature,Importance
fire_duration_days,0.33435562
temp_precip_ratio,0.19347525
avg_wind_speed,0.1355844
days_without_rain,0.082602404
avg_dewpoint,0.07884241
avg_temp_30d,0.06967262
max_temp_30d,0.048858255
avg_max_temp_30d,0.027567904
max_wind_speed,0.015118793
total_precip_30d,0.013922361
