latitude,longitude,acq_date,satellite,instrument,frp,type,bright_t31,confidence,year,month,datetime,day,confidence_level,frp_category
40.8987,-120.5734,2013-10-15,Aqua,MODIS,7.9,0,298.3,52,2013,10,2013-10-15,15,medium,low
40.9011,-120.5596,2013-10-15,Aqua,MODIS,129.2,0,302.5,100,2013,10,2013-10-15,15,high,high
40.9168,-122.7839,2013-12-09,Aqua,MODIS,37.8,0,273.1,79,2013,12,2013-12-09,9,high,medium-low
40.9194,-122.7699,2013-12-09,Aqua,MODIS,40.1,0,272.5,83,2013,12,2013-12-09,9,high,medium-low
40.9198,-122.7641,2013-12-09,Terra,MODIS,14.5,0,268.3,62,2013,12,2013-12-09,9,medium,low
40.9259,-120.5288,2013-10-15,Terra,MODIS,25.9,0,293.5,82,2013,10,2013-10-15,15,high,medium-low
40.9267,-122.7868,2013-12-09,Aqua,MODIS,20.2,0,272.4,71,2013,12,2013-12-09,9,high,low
40.9284,-120.5426,2013-10-15,Terra,MODIS,47.8,0,294.6,90,2013,10,2013-10-15,15,high,medium-high
40.9285,-123.5699,2013-03-15,Aqua,MODIS,9.8,0,285.8,63,2013,3,2013-03-15,15,medium,low
40.939,-122.7753,2013-12-09,Aqua,MODIS,18.6,0,272.8,68,2013,12,2013-12-09,9,medium,low
40.9875,-123.4595,2013-08-21,Aqua,MODIS,61.1,0,298.2,77,2013,8,2013-08-21,21,high,medium-high
40.9887,-122.0153,2013-12-09,Aqua,MODIS,178.0,0,276.3,100,2013,12,2013-12-09,9,high,high
40.99,-123.4686,2013-08-21,Terra,MODIS,45.0,0,299.9,92,2013,8,2013-08-21,21,high,medium-low
40.9904,-123.4727,2013-08-22,Terra,MODIS,13.5,0,291.8,91,2013,8,2013-08-22,22,high,low
40.9909,-122.0024,2013-12-09,Aqua,MODIS,66.4,0,273.5,93,2013,12,2013-12-09,9,high,medium-high
40.99100000000001,-123.4844,2013-08-19,Terra,MODIS,22.0,0,293.4,61,2013,8,2013-08-19,19,medium,medium-low
40.9916,-122.0223,2013-12-09,Aqua,MODIS,24.3,0,272.9,77,2013,12,2013-12-09,9,high,medium-low
40.9917,-123.4244,2013-08-24,Aqua,MODIS,27.4,0,293.8,78,2013,8,2013-08-24,24,high,medium-low
40.992,-123.4689,2013-08-19,Terra,MODIS,20.9,0,298.1,77,2013,8,2013-08-19,19,high,medium-low
40.9928,-123.4174,2013-08-24,Aqua,MODIS,18.6,0,286.0,97,2013,8,2013-08-24,24,high,low
40.9929,-123.4348,2013-08-21,Aqua,MODIS,102.2,0,299.6,90,2013,8,2013-08-21,21,high,medium-high
40.993,-123.4703,2013-08-18,Terra,MODIS,41.1,0,296.5,58,2013,8,2013-08-18,18,medium,medium-low
40.9932,-123.4779,2013-08-19,Aqua,MODIS,94.0,0,301.2,95,2013,8,2013-08-19,19,high,medium-high
40.9933,-123.4275,2013-08-24,Terra,MODIS,40.2,0,287.2,100,2013,8,2013-08-24,24,high,medium-low
40.9934,-123.4127,2013-08-24,Aqua,MODIS,76.2,0,296.9,99,2013,8,2013-08-24,24,high,medium-high
40.9939,-123.4305,2013-08-21,Terra,MODIS,16.3,0,300.0,77,2013,8,2013-08-21,21,high,low
40.9939,-122.0096,2013-12-09,Aqua,MODIS,95.9,0,275.0,98,2013,12,2013-12-09,9,high,medium-high
40.9954,-123.4152,2013-08-24,Terra,MODIS,42.5,0,288.4,100,2013,8,2013-08-24,24,high,medium-low
40.9955,-123.4423,2013-08-21,Terra,MODIS,17.2,0,298.7,68,2013,8,2013-08-21,21,medium,low
