Feature,Importance
avg_dewpoint,0.18147798
avg_max_temp_30d,0.15714532
fire_duration_days,0.13585585
max_temp_30d,0.11637799
avg_wind_speed,0.11022364
temp_precip_ratio,0.099968806
max_wind_speed,0.08052632
avg_temp_30d,0.07451016
total_precip_30d,0.032211427
days_without_rain,0.011702478
